index_code,date,open,close,low,high,volume,money,change
sh000016,2017-05-24,2402.52,2407.57,2382.19,2413.42,2277433200.0,28642320000.0,-0.00175387677254
sh000016,2017-05-23,2378.74,2411.8,2376.64,2412.03,3462055600.0,41243920000.0,0.0127018118452
sh000016,2017-05-22,2359.97,2381.55,2358.78,2384.16,2278023100.0,28751140000.0,0.00842204212291
sh000016,2017-05-19,2351.52,2361.66,2351.52,2363.36,1430456800.0,18966710000.0,0.00293449410765
sh000016,2017-05-18,2348.87,2354.75,2347.38,2361.02,1712123100.0,21258550000.0,-0.00372742811691
sh000016,2017-05-17,2377.12,2363.56,2361.63,2378.99,2085822500.0,24900860000.0,-0.00745804847732
sh000016,2017-05-16,2376.9,2381.32,2362.11,2381.73,2389204700.0,27292940000.0,-0.000180539519261
sh000016,2017-05-15,2380.27,2381.75,2378.97,2394.52,2341241000.0,28055290000.0,0.00265212907028
sh000016,2017-05-12,2336.61,2375.45,2335.37,2375.64,2890678400.0,32145340000.0,0.0154576816042
sh000016,2017-05-11,2318.05,2339.29,2313.83,2342.18,2839544100.0,31483870000.0,0.00618085783597
sh000016,2017-05-10,2315.56,2324.92,2315.56,2337.05,2231892600.0,29082190000.0,0.00372578563133
sh000016,2017-05-09,2312.85,2316.29,2307.87,2320.29,1615731500.0,20310250000.0,-0.00421735952883
sh000016,2017-05-08,2309.24,2326.1,2298.32,2326.1,3465012300.0,38506530000.0,0.0023700767043
sh000016,2017-05-05,2318.92,2320.6,2297.45,2320.6,3095107400.0,33979250000.0,-0.00207703521499
sh000016,2017-05-04,2325.01,2325.43,2317.14,2332.09,2076741000.0,23662230000.0,-0.00186284483018
sh000016,2017-05-03,2335.82,2329.77,2324.19,2342.14,1874768500.0,21306110000.0,-0.00300412103783
sh000016,2017-05-02,2341.75,2336.79,2334.88,2350.51,1621832100.0,19299430000.0,-0.00436720294499
sh000016,2017-04-28,2348.29,2347.04,2331.82,2348.29,2073368300.0,25027450000.0,-0.00195608171319
sh000016,2017-04-27,2337.46,2351.64,2327.47,2352.68,2983407600.0,32332180000.0,0.00304542546385
sh000016,2017-04-26,2345.63,2344.5,2338.86,2360.28,2647062200.0,32375910000.0,-0.000102356764503
sh000016,2017-04-25,2337.52,2344.74,2334.0,2348.6,1938294300.0,24053130000.0,0.00119986506855
sh000016,2017-04-24,2344.19,2341.93,2323.67,2344.19,3109300700.0,34439050000.0,-0.00244497736053
sh000016,2017-04-21,2336.44,2347.67,2333.23,2350.87,2707371200.0,29654140000.0,0.00514631901184
sh000016,2017-04-20,2324.37,2335.65,2321.0,2336.54,2657672500.0,32243770000.0,0.00456336235076
sh000016,2017-04-19,2331.66,2325.04,2311.66,2335.99,2791943500.0,30382090000.0,-0.00526664812715
sh000016,2017-04-18,2352.51,2337.35,2336.77,2352.79,2375365600.0,28470230000.0,-0.00855560080084
sh000016,2017-04-17,2348.75,2357.52,2334.89,2359.18,2637625000.0,27908080000.0,0.000849069419916
sh000016,2017-04-14,2367.78,2355.52,2344.61,2368.8,2431896900.0,26912930000.0,-0.00531647600829
sh000016,2017-04-13,2369.61,2368.11,2364.44,2373.37,2279306000.0,26083930000.0,-0.00451897127195
sh000016,2017-04-12,2378.93,2378.86,2362.43,2385.61,3364031600.0,38322590000.0,-0.00136433665952
sh000016,2017-04-11,2374.92,2382.11,2354.02,2385.05,3920082600.0,44230590000.0,0.00123993342188
sh000016,2017-04-10,2388.56,2379.16,2377.43,2391.95,3125802600.0,34790980000.0,-0.00381447658766
