index_code,date,open,close,low,high,volume,money,change
sh000020,2017-05-24,1295.49,1307.18,1275.21,1307.34,2109280300.0,24429120000.0,0.00312329734251
sh000020,2017-05-23,1339.65,1303.11,1301.06,1339.99,2482128900.0,29987100000.0,-0.0296515827333
sh000020,2017-05-22,1369.73,1342.93,1340.0,1371.57,2319056500.0,27459830000.0,-0.0213663691018
sh000020,2017-05-19,1370.71,1372.25,1364.26,1375.34,2129537900.0,26901180000.0,8.74552702732e-05
sh000020,2017-05-18,1369.22,1372.13,1365.33,1381.78,2310472400.0,30340290000.0,-0.00583977568306
sh000020,2017-05-17,1374.92,1380.19,1373.83,1387.75,2797844100.0,34982640000.0,0.00278998801177
sh000020,2017-05-16,1345.9,1376.35,1336.39,1376.46,2756509200.0,33629480000.0,0.0207736920955
sh000020,2017-05-15,1346.12,1348.34,1346.12,1353.26,2003792100.0,25790090000.0,0.00185013188691
sh000020,2017-05-12,1344.32,1345.85,1334.86,1350.57,2276365300.0,29037340000.0,-0.00109846882353
sh000020,2017-05-11,1350.67,1347.33,1314.77,1352.75,2773665600.0,32821700000.0,-0.00958562743959
sh000020,2017-05-10,1388.38,1360.37,1359.92,1395.59,2430180900.0,30971680000.0,-0.0211827515991
sh000020,2017-05-09,1375.0,1389.81,1367.83,1390.0,2230163800.0,27925100000.0,0.00642316103524
sh000020,2017-05-08,1404.03,1380.94,1380.38,1404.26,2474270000.0,31566870000.0,-0.0203945548312
sh000020,2017-05-05,1428.53,1409.69,1409.33,1429.85,2381746000.0,31764160000.0,-0.0164381650096
sh000020,2017-05-04,1437.9,1433.25,1428.96,1444.48,2320197800.0,30222890000.0,-0.00684623006936
sh000020,2017-05-03,1439.76,1443.13,1437.25,1445.65,2513886100.0,33219400000.0,0.000388196066742
sh000020,2017-05-02,1439.78,1442.57,1435.0,1442.91,2227683900.0,29514370000.0,-0.000928035680894
sh000020,2017-04-28,1433.26,1443.91,1432.24,1444.02,2351213000.0,29231830000.0,0.00363527678149
sh000020,2017-04-27,1429.75,1438.68,1401.91,1440.53,2721289000.0,34645710000.0,0.00310271016504
sh000020,2017-04-26,1431.29,1434.23,1428.34,1435.99,2226397000.0,30566840000.0,0.00191408951512
sh000020,2017-04-25,1426.49,1431.49,1423.6,1440.15,2023642100.0,27569730000.0,0.0033714638181
sh000020,2017-04-24,1471.52,1426.68,1426.24,1471.64,2503662100.0,30222990000.0,-0.033021553477
sh000020,2017-04-21,1481.8,1475.4,1473.04,1486.62,2139242500.0,28171090000.0,-0.00473550006071
sh000020,2017-04-20,1484.31,1482.42,1470.58,1492.55,2703131200.0,35883380000.0,-0.00250984086398
sh000020,2017-04-19,1501.93,1486.15,1471.82,1502.09,2958238700.0,39030210000.0,-0.014384815365
sh000020,2017-04-18,1519.59,1507.84,1506.97,1525.42,2598834600.0,35632150000.0,-0.00890632908064
sh000020,2017-04-17,1539.36,1521.39,1514.52,1539.36,2846053300.0,37601600000.0,-0.0160203342474
sh000020,2017-04-14,1567.27,1546.16,1544.86,1567.62,3131816200.0,40722450000.0,-0.0142240527393
sh000020,2017-04-13,1560.66,1568.47,1559.23,1572.16,3243440800.0,39800320000.0,0.00260163641013
sh000020,2017-04-12,1573.38,1564.4,1562.48,1573.38,3558850400.0,50024700000.0,-0.00864991603561
sh000020,2017-04-11,1564.83,1578.05,1554.78,1578.12,4238397900.0,58841310000.0,0.0072766731561
sh000020,2017-04-10,1578.06,1566.65,1563.7,1578.06,3771139100.0,51875590000.0,-0.00925199838106
sh000020,2017-04-07,1576.99,1581.28,1574.86,1584.39,3579219600.0,47585600000.0,0.00251058757893
sh000020,2017-04-06,1575.14,1577.32,1572.88,1580.4,3317605800.0,43929930000.0,0.00156204361023
sh000020,2017-04-05,1548.24,1574.86,1548.24,1574.95,3475547300.0,45000990000.0,0.0194522303714
sh000020,2017-03-31,1543.38,1544.81,1536.45,1550.44,3314598100.0,40621930000.0,0.000505171531641
sh000020,2017-03-30,1573.66,1544.03,1541.83,1573.77,4170296700.0,55145690000.0,-0.0210992132174
