index_code,date,open,close,low,high,volume,money,change
sh000007,2017-05-24,5976.41,6016.18,5920.41,6016.18,1576115100.0,13079700000.0,0.000826788616601
sh000007,2017-05-23,6043.62,6011.21,5951.3,6048.35,2103425500.0,17418560000.0,-0.00941280385213
sh000007,2017-05-22,6104.82,6068.33,6000.57,6104.82,1895690100.0,15923260000.0,-0.00809272553712
sh000007,2017-05-19,6126.81,6117.84,6095.0,6139.42,1738544300.0,15230760000.0,-0.00387680834955
sh000007,2017-05-18,6156.44,6141.65,6115.62,6186.33,2140112100.0,18233870000.0,-0.00892694332876
sh000007,2017-05-17,6193.32,6196.97,6184.35,6235.87,2571486000.0,21865250000.0,-0.00106229326387
sh000007,2017-05-16,6120.84,6203.56,6046.8,6204.23,2489305600.0,21269530000.0,0.0103304001707
sh000007,2017-05-15,6170.56,6140.13,6132.06,6184.54,1975524300.0,16764770000.0,-0.00197812200315
sh000007,2017-05-12,6112.01,6152.3,6095.71,6184.77,2343327300.0,18731840000.0,0.00342013886057
sh000007,2017-05-11,6050.68,6131.33,6017.23,6145.69,2808289500.0,20772910000.0,0.00435892227653
sh000007,2017-05-10,6221.89,6104.72,6091.86,6241.89,2115027100.0,16682850000.0,-0.0173314939983
sh000007,2017-05-09,6170.82,6212.39,6154.97,6235.81,2040385700.0,15660330000.0,0.00126843011224
sh000007,2017-05-08,6267.07,6204.52,6145.5,6271.16,2741001600.0,23150990000.0,-0.0134000340288
sh000007,2017-05-05,6307.68,6288.79,6264.56,6323.3,2520194900.0,21628010000.0,-0.00631875337743
sh000007,2017-05-04,6292.71,6328.78,6237.67,6389.22,2926177800.0,26182510000.0,0.00218686707934
sh000007,2017-05-03,6339.91,6314.97,6292.24,6372.06,2642343500.0,22340840000.0,-0.00597363102321
sh000007,2017-05-02,6332.08,6352.92,6317.38,6381.77,2429167400.0,20059190000.0,0.00127505386275
sh000007,2017-04-28,6310.46,6344.83,6303.96,6345.54,2319487000.0,19364200000.0,0.00161968373544
sh000007,2017-04-27,6246.85,6334.57,6168.54,6348.46,3637645900.0,29803120000.0,0.0105819177313
sh000007,2017-04-26,6283.75,6268.24,6258.89,6306.27,2389579100.0,20112790000.0,-0.00341192743692
sh000007,2017-04-25,6289.01,6289.7,6240.49,6336.46,2388971200.0,18586240000.0,-0.00443514432422
sh000007,2017-04-24,6464.89,6317.72,6245.02,6465.48,2967862100.0,23796210000.0,-0.0253996609265
sh000007,2017-04-21,6501.07,6482.37,6431.5,6512.31,2507832300.0,20972990000.0,-0.00322602966164
sh000007,2017-04-20,6458.04,6503.35,6428.01,6503.74,2886420000.0,24963280000.0,0.0052508895752
sh000007,2017-04-19,6474.24,6469.38,6382.77,6486.5,3222658300.0,26668820000.0,-0.00462195088177
sh000007,2017-04-18,6538.04,6499.42,6498.54,6584.08,3047627300.0,25486230000.0,-0.00881924587289
sh000007,2017-04-17,6568.33,6557.25,6511.09,6574.89,2680069500.0,21786950000.0,-0.0082159003081
