index_code,date,open,close,low,high,volume,money,change
sh000003,2017-05-24,316.02,316.35,312.84,316.61,23009200.0,151660000.0,0.000664262668438
sh000003,2017-05-23,321.76,316.14,315.89,321.86,28731100.0,185240000.0,-0.0176496177988
sh000003,2017-05-22,325.47,321.82,321.12,325.88,17777300.0,115170000.0,-0.0119431396027
sh000003,2017-05-19,325.49,325.71,325.05,326.06,10970200.0,70590000.0,0.000583681494225
sh000003,2017-05-18,325.28,325.52,324.28,326.23,14299200.0,95760000.0,-0.00303206639919
sh000003,2017-05-17,325.54,326.51,325.3,327.7,22995400.0,158740000.0,0.00381221754235
sh000003,2017-05-16,321.61,325.27,319.04,325.38,28793900.0,191710000.0,0.011097295617
sh000003,2017-05-15,321.83,321.7,321.61,323.2,14111500.0,93970000.0,-0.000683399602386
sh000003,2017-05-12,322.43,321.92,321.33,323.32,20412700.0,134550000.0,-0.00216973529229
sh000003,2017-05-11,322.12,322.62,317.85,322.84,31528000.0,202010000.0,0.000217020616958
sh000003,2017-05-10,325.17,322.55,322.2,326.5,22762700.0,143520000.0,-0.0081793302789
sh000003,2017-05-09,324.01,325.21,322.49,325.37,27952000.0,170330000.0,0.000923332615186
sh000003,2017-05-08,329.07,324.91,324.51,329.07,32392300.0,203650000.0,-0.0133013453187
sh000003,2017-05-05,334.25,329.29,328.82,334.25,45169000.0,291680000.0,-0.0156637670762
sh000003,2017-05-04,333.71,334.53,333.05,335.31,19699400.0,135970000.0,0.00212689473369
sh000003,2017-05-03,333.18,333.82,332.47,334.49,21336900.0,142100000.0,0.00159020672687
sh000003,2017-05-02,334.64,333.29,333.03,335.31,22702400.0,157150000.0,-0.00549040670784
sh000003,2017-04-28,336.35,335.13,334.56,336.35,23089600.0,181840000.0,-0.00303435966087
sh000003,2017-04-27,335.07,336.15,331.61,336.23,33316000.0,222410000.0,0.00310345856584
sh000003,2017-04-26,333.68,335.11,332.95,335.37,24467400.0,171080000.0,0.00419525935693
sh000003,2017-04-25,332.8,333.71,332.8,334.59,24253800.0,164990000.0,0.00237294244864
sh000003,2017-04-24,337.04,332.92,332.38,337.04,28085300.0,192950000.0,-0.0126049174007
sh000003,2017-04-21,336.9,337.17,336.5,338.01,15494100.0,113240000.0,0.000534140478946
sh000003,2017-04-20,336.78,336.99,334.93,337.69,25815900.0,175710000.0,0.000772131975173
sh000003,2017-04-19,338.98,336.73,334.0,338.98,49144100.0,314070000.0,-0.00821748350613
sh000003,2017-04-18,338.93,339.52,338.93,341.23,20456200.0,143150000.0,0.00138622622032
sh000003,2017-04-17,340.18,339.05,338.08,340.38,27708400.0,180810000.0,-0.00396592244418
sh000003,2017-04-14,343.64,340.4,340.25,344.09,35134700.0,235340000.0,-0.00980306600343
