index_code,date,open,close,low,high,volume,money,change
sh000008,2017-05-24,2760.9,2768.43,2738.96,2771.74,3376200100.0,34979630000.0,-0.000404397826362
sh000008,2017-05-23,2745.1,2769.55,2740.93,2780.49,4462594500.0,45623810000.0,0.00803648447481
sh000008,2017-05-22,2735.49,2747.47,2733.39,2761.55,3461194400.0,37217190000.0,0.00284339776908
sh000008,2017-05-19,2736.52,2739.68,2735.66,2744.71,2742442000.0,27376700000.0,0.000569733978058
sh000008,2017-05-18,2726.52,2738.12,2725.62,2746.44,3429538000.0,31290970000.0,-0.00227738971057
sh000008,2017-05-17,2752.54,2744.37,2739.51,2754.52,3634831600.0,37830690000.0,-0.00521971748279
sh000008,2017-05-16,2756.89,2758.77,2732.26,2760.23,3860208400.0,36179590000.0,-0.00134299614839
sh000008,2017-05-15,2765.2,2762.48,2759.21,2784.32,3383629800.0,35238160000.0,0.000119472150318
sh000008,2017-05-12,2709.14,2762.15,2706.74,2763.25,4429412200.0,42771520000.0,0.0177825925148
sh000008,2017-05-11,2693.59,2713.89,2690.69,2715.29,4155366700.0,40721300000.0,0.00404742966019
sh000008,2017-05-10,2697.82,2702.95,2697.82,2722.66,3660025200.0,39681800000.0,0.000788649373153
sh000008,2017-05-09,2693.91,2700.82,2689.4,2706.07,2690282000.0,27505020000.0,-0.00174825820998
sh000008,2017-05-08,2688.2,2705.55,2683.19,2705.55,4345359800.0,42594480000.0,0.00168826985661
sh000008,2017-05-05,2699.79,2700.99,2677.58,2702.56,4212574600.0,41397190000.0,-0.00325484074529
sh000008,2017-05-04,2709.55,2709.81,2700.15,2718.33,4061367000.0,37443290000.0,-0.00186013275086
sh000008,2017-05-03,2722.0,2714.86,2707.09,2725.63,3494276600.0,35387300000.0,-0.00334804220295
sh000008,2017-05-02,2736.59,2723.98,2721.22,2740.31,3451981100.0,33898030000.0,-0.00720546697039
sh000008,2017-04-28,2737.81,2743.75,2726.81,2743.94,3748148300.0,35599800000.0,0.000557942105302
sh000008,2017-04-27,2723.66,2742.22,2711.39,2742.22,4821814100.0,46443280000.0,0.00460498598721
sh000008,2017-04-26,2718.3,2729.65,2712.66,2736.72,4297078600.0,42067140000.0,0.00417909788875
sh000008,2017-04-25,2712.71,2718.29,2709.86,2725.28,3540329100.0,33383500000.0,0.000633151363668
sh000008,2017-04-24,2717.45,2716.57,2697.96,2719.0,4069013600.0,38616870000.0,-0.00275323321354
sh000008,2017-04-21,2704.48,2724.07,2699.82,2726.82,3849559000.0,35386230000.0,0.00708341497499
sh000008,2017-04-20,2706.55,2704.91,2693.05,2713.16,4250273100.0,40932030000.0,-0.00104884128889
sh000008,2017-04-19,2721.58,2707.75,2696.78,2726.82,4622096900.0,43898820000.0,-0.00801937251799
sh000008,2017-04-18,2752.94,2729.64,2729.14,2754.69,4114795300.0,40177120000.0,-0.010939079581
sh000008,2017-04-17,2758.34,2759.83,2735.64,2761.55,4911224900.0,44472040000.0,-0.00286513281498
sh000008,2017-04-14,2785.4,2767.76,2755.96,2785.93,4902695700.0,45158430000.0,-0.00644003302581
sh000008,2017-04-13,2784.86,2785.7,2780.3,2790.74,4078098900.0,41447020000.0,-0.00174516317455
sh000008,2017-04-12,2790.92,2790.57,2775.62,2797.59,6212115600.0,59521270000.0,-0.00144921313094
