index_code,date,open,close,low,high,volume,money,change
sh000010,2017-05-24,7441.48,7462.72,7385.39,7463.81,4698454100.0,53149100000.0,-0.00125667314855
sh000010,2017-05-23,7400.86,7472.11,7393.78,7473.69,6931349100.0,74865660000.0,0.00802822221623
sh000010,2017-05-22,7376.58,7412.6,7359.87,7430.99,4929591100.0,54144070000.0,0.00395345781963
sh000010,2017-05-19,7361.02,7383.41,7361.02,7386.04,3417774200.0,38772720000.0,0.0015423139321
sh000010,2017-05-18,7353.86,7372.04,7347.12,7391.54,4072585600.0,44547610000.0,-0.00358313453312
sh000010,2017-05-17,7431.32,7398.55,7393.99,7447.23,4815141800.0,53815700000.0,-0.00594534315043
sh000010,2017-05-16,7396.31,7442.8,7350.69,7443.29,5445209100.0,58202310000.0,0.00404434479726
sh000010,2017-05-15,7405.72,7412.82,7403.51,7438.71,4770608900.0,52357700000.0,0.00280299238376
sh000010,2017-05-12,7304.62,7392.1,7301.18,7400.53,5481160200.0,56923350000.0,0.0101464227881
sh000010,2017-05-11,7250.65,7317.85,7238.93,7327.12,6888987600.0,68481680000.0,0.00500590545774
sh000010,2017-05-10,7302.91,7281.4,7273.77,7342.28,5187375400.0,58470640000.0,-0.00308464073451
sh000010,2017-05-09,7299.62,7303.93,7270.65,7323.56,4332069600.0,47157990000.0,-0.00497517182189
sh000010,2017-05-08,7310.19,7340.45,7262.22,7340.82,7544720800.0,80192080000.0,-0.000518772483545
sh000010,2017-05-05,7343.97,7344.26,7278.73,7346.0,6657160400.0,69962760000.0,-0.00312733294423
sh000010,2017-05-04,7366.05,7367.3,7335.74,7396.28,5462830900.0,58616050000.0,-0.0023237988966
sh000010,2017-05-03,7399.94,7384.46,7363.39,7420.66,5019929600.0,54207210000.0,-0.00313054747457
sh000010,2017-05-02,7419.52,7407.65,7398.21,7443.42,4521792500.0,51731540000.0,-0.0041312758961
sh000010,2017-04-28,7436.93,7438.38,7393.19,7438.64,4998795000.0,57466720000.0,-0.00157447339704
sh000010,2017-04-27,7420.2,7450.11,7362.84,7453.93,6719452000.0,71874070000.0,0.000944501469822
sh000010,2017-04-26,7446.8,7443.08,7432.14,7489.14,5929503200.0,69531150000.0,-0.000588119976475
sh000010,2017-04-25,7432.66,7447.46,7415.4,7463.92,4867691900.0,56290340000.0,-0.000469738127704
sh000010,2017-04-24,7479.05,7450.96,7377.01,7479.05,7434522300.0,77680950000.0,-0.00620210044468
sh000010,2017-04-21,7469.42,7497.46,7448.5,7505.53,6117319700.0,67623030000.0,0.00389643777215
sh000010,2017-04-20,7429.63,7468.36,7414.67,7470.72,6505446800.0,75625130000.0,0.00456660313327
sh000010,2017-04-19,7457.89,7434.41,7381.47,7470.33,7106862800.0,69950770000.0,-0.00603778024673
sh000010,2017-04-18,7521.92,7479.57,7478.7,7534.94,6179761700.0,70840130000.0,-0.00763290920911
sh000010,2017-04-17,7521.96,7537.1,7468.3,7539.51,7118973100.0,73677130000.0,-0.00159752873167
sh000010,2017-04-14,7596.51,7549.16,7520.16,7599.37,7760770400.0,74013780000.0,-0.00584313224548
sh000010,2017-04-13,7581.62,7593.53,7571.1,7602.17,6599881500.0,66209420000.0,-0.00149640166682
sh000010,2017-04-12,7608.55,7604.91,7564.35,7625.03,9791836300.0,1.1717679e+11,-0.00186373474067
