code,date,open,high,low,close,change,volume,money,traded_market_value,market_value,turnover,adjust_price,report_type,report_date,PE_TTM,PS_TTM,PC_TTM,PB,adjust_price_f
sh600002,2006-04-06,10.070000,10.110000,10.010000,10.090000,-0.003949,647750.000000,6524667.000000,3531500000.000000,19675500000.000000,0.001851,11.134573,2005-09-30,2005-10-28,8.598206,1.094549,5.575119,2.625118,10.090000
sh600002,2006-04-05,10.110000,10.140000,10.090000,10.130000,0.001978,7853867.000000,79367810.000000,3545500000.000000,19753500000.000000,0.022440,11.178717,2005-09-30,2005-10-28,8.632295,1.098889,5.597222,2.635526,10.130003
sh600002,2006-04-04,10.110000,10.120000,10.100000,10.110000,0.000000,4617379.000000,46681641.000000,3538500000.000000,19714500000.000000,0.013193,11.156650,2005-09-30,2005-10-28,8.615254,1.096720,5.586173,2.630323,10.110006
sh600002,2006-04-03,10.110000,10.130000,10.110000,10.110000,0.000000,1979861.000000,20030568.000000,3538500000.000000,19714500000.000000,0.005657,11.156650,2005-09-30,2005-10-28,8.615254,1.096720,5.586173,2.630323,10.110006
sh600002,2006-03-31,10.100000,10.120000,10.100000,10.110000,0.000990,1636419.000000,16533529.000000,3538500000.000000,19714500000.000000,0.004675,11.156650,2005-09-30,2005-10-28,8.615254,1.096720,5.586173,2.630323,10.110006
sh600002,2006-03-30,10.090000,10.110000,10.080000,10.100000,0.000991,3219600.000000,32489567.000000,3535000000.000000,19695000000.000000,0.009199,11.145615,2005-09-30,2005-10-28,8.606733,1.095635,5.580648,2.627722,10.100007
sh600002,2006-03-29,10.100000,10.110000,10.090000,10.090000,-0.000990,3921521.000000,39604658.000000,3531500000.000000,19675500000.000000,0.011204,11.134581,2005-09-30,2005-10-28,8.598212,1.094550,5.575123,2.625120,10.090008
sh600002,2006-03-28,10.110000,10.120000,10.100000,10.100000,-0.000989,2935100.000000,29673140.000000,3535000000.000000,19695000000.000000,0.008386,11.145615,2005-09-30,2005-10-28,8.606733,1.095635,5.580648,2.627722,10.100007
sh600002,2006-03-27,10.120000,10.120000,10.100000,10.110000,-0.000988,3094571.000000,31287113.000000,3538500000.000000,19714500000.000000,0.008842,11.156649,2005-09-30,2005-10-28,8.615253,1.096719,5.586172,2.630323,10.110005
sh600002,2006-03-24,10.100000,10.120000,10.100000,10.120000,0.001980,2372539.000000,23985627.000000,3542000000.000000,19734000000.000000,0.006779,11.167683,2005-09-30,2005-10-28,8.623774,1.097804,5.591697,2.632925,10.120004
sh600002,2006-03-23,10.090000,10.110000,10.090000,10.100000,0.001984,5972338.000000,60339379.000000,3535000000.000000,19695000000.000000,0.017064,11.145615,2005-09-30,2005-10-28,8.606732,1.095635,5.580647,2.627722,10.100006
sh600002,2006-03-22,10.090000,10.100000,10.080000,10.080000,-0.000991,3769600.000000,38048893.000000,3528000000.000000,19656000000.000000,0.010770,11.123545,2005-09-30,2005-10-28,8.589691,1.093465,5.569597,2.622519,10.080007
sh600002,2006-03-21,10.100000,10.110000,10.090000,10.090000,-0.000990,1938100.000000,19572705.000000,3531500000.000000,19675500000.000000,0.005537,11.134580,2005-09-30,2005-10-28,8.598211,1.094550,5.575122,2.625120,10.090006
