code,date,open,high,low,close,change,volume,money,traded_market_value,market_value,turnover,adjust_price,report_type,report_date,PE_TTM,PS_TTM,PC_TTM,PB,adjust_price_f
sh600001,2009-12-15,5.290000,5.310000,5.210000,5.290000,-0.011215,131004969.000000,689340920.000000,14899055250.000000,14899055250.000000,0.046514,13.720879,2009-09-30,2009-10-31,-673.714678,0.460574,5.190511,1.200098,5.290000
sh600001,2009-12-14,5.470000,5.470000,5.200000,5.350000,-0.027273,130704741.000000,690960594.000000,15068042640.000000,15068042640.000000,0.046408,13.876504,2009-09-30,2009-10-31,-681.356086,0.465798,5.249383,1.213710,5.350000
sh600001,2009-12-11,5.680000,5.730000,5.450000,5.500000,-0.021352,104960264.000000,584602657.000000,15490511130.000000,15490511130.000000,0.037267,14.265569,2009-09-30,2009-10-31,-700.459724,0.478857,5.396563,1.247739,5.500002
sh600001,2009-12-10,5.620000,5.700000,5.550000,5.620000,0.010791,44208092.000000,248443079.000000,15828485920.000000,15828485920.000000,0.015696,14.576813,2009-09-30,2009-10-31,-715.742253,0.489305,5.514304,1.274962,5.620000
sh600001,2009-12-09,5.630000,5.690000,5.510000,5.560000,-0.026270,40122678.000000,224938898.000000,15659498520.000000,15659498520.000000,0.014246,14.421194,2009-09-30,2009-10-31,-708.101133,0.484081,5.455435,1.261351,5.560002
sh600001,2009-12-08,5.820000,5.830000,5.650000,5.710000,-0.018900,56619400.000000,323530942.000000,16081967010.000000,16081967010.000000,0.020103,14.810260,2009-09-30,2009-10-31,-727.204804,0.497141,5.602616,1.295381,5.710004
sh600001,2009-12-07,5.720000,5.840000,5.680000,5.820000,0.013937,72415605.000000,418272128.000000,16391777230.000000,16391777230.000000,0.025712,15.095566,2009-09-30,2009-10-31,-741.213743,0.506718,5.710545,1.320335,5.820002
sh600001,2009-12-04,5.650000,5.780000,5.500000,5.740000,0.012346,88570184.000000,502178000.000000,16166460710.000000,16166460710.000000,0.031447,14.888071,2009-09-30,2009-10-31,-731.025442,0.499753,5.632051,1.302186,5.740003
sh600001,2009-12-03,5.620000,5.730000,5.490000,5.670000,0.007105,70685067.000000,396275120.000000,15969308750.000000,15969308750.000000,0.025097,14.706504,2009-09-30,2009-10-31,-722.110268,0.493658,5.563366,1.286306,5.670002
sh600001,2009-12-02,5.630000,5.680000,5.560000,5.630000,0.001779,58221282.000000,327325388.000000,15856650480.000000,15856650480.000000,0.020672,14.602752,2009-09-30,2009-10-31,-717.015871,0.490176,5.524117,1.277231,5.630000
sh600001,2009-12-01,5.470000,5.640000,5.370000,5.620000,0.025547,57674960.000000,319726470.000000,15828485920.000000,15828485920.000000,0.020478,14.576820,2009-09-30,2009-10-31,-715.742565,0.489305,5.514307,1.274963,5.620002
sh600001,2009-11-30,5.350000,5.480000,5.290000,5.480000,0.033962,51363027.000000,277206324.000000,15434182000.000000,15434182000.000000,0.018237,14.213702,2009-09-30,2009-10-31,-697.912982,0.477116,5.376942,1.243203,5.480005
sh600001,2009-11-27,5.490000,5.550000,5.290000,5.300000,-0.055258,51752875.000000,279045370.000000,14927219820.000000,14927219820.000000,0.018375,13.746832,2009-09-30,2009-10-31,-674.989005,0.461445,5.200329,1.202368,5.300006
sh600001,2009-11-26,5.920000,5.940000,5.510000,5.610000,-0.047538,81553946.000000,466748231.000000,15800321350.000000,15800321350.000000,0.028956,14.550885,2009-09-30,2009-10-31,-714.469141,0.488435,5.504496,1.272694,5.610004
sh600001,2009-11-25,5.640000,5.900000,5.460000,5.890000,0.033333,98972493.000000,564567078.000000,16588929190.000000,16588929190.000000,0.035141,15.277129,2009-09-30,2009-10-31,-750.128762,0.512813,5.779229,1.336215,5.890003
sh600001,2009-11-24,5.650000,6.040000,5.600000,5.700000,0.014235,148137740.000000,862696195.000000,16053802440.000000,16053802440.000000,0.052597,14.784323,2009-09-30,2009-10-31,-725.931294,0.496271,5.592804,1.293112,5.700004
sh600001,2009-11-23,5.590000,5.650000,5.530000,5.620000,0.008977,60012743.000000,335263722.000000,15828485920.000000,15828485920.000000,0.021308,14.576822,2009-09-30,2009-10-31,-715.742697,0.489305,5.514308,1.274963,5.620004
sh600001,2009-11-20,5.530000,5.620000,5.440000,5.570000,0.007233,55719517.000000,310071657.000000,15687663090.000000,15687663090.000000,0.019784,14.447130,2009-09-30,2009-10-31,-709.374641,0.484952,5.465246,1.263620,5.570002
sh600001,2009-11-19,5.440000,5.540000,5.400000,5.530000,0.020295,46371989.000000,253387643.000000,15575004830.000000,15575004830.000000,0.016465,14.343385,2009-09-30,2009-10-31,-704.280579,0.481470,5.426000,1.254545,5.530003
sh600001,2009-11-18,5.450000,5.480000,5.360000,5.420000,-0.003676,37341228.000000,201952711.000000,15265194600.000000,15265194600.000000,0.013258,14.058076,2009-09-30,2009-10-31,-690.271519,0.471892,5.318070,1.229591,5.420004
sh600001,2009-11-17,5.490000,5.540000,5.410000,5.440000,0.001842,52818478.000000,288216611.000000,15321523740.000000,15321523740.000000,0.018754,14.109944,2009-09-30,2009-10-31,-692.818319,0.473634,5.337691,1.234128,5.440002
sh600001,2009-11-16,5.230000,5.450000,5.220000,5.430000,0.044231,87736548.000000,468994343.000000,15293359170.000000,15293359170.000000,0.031151,14.084001,2009-09-30,2009-10-31,-691.544494,0.472763,5.327877,1.231858,5.430000
sh600001,2009-11-13,5.190000,5.220000,5.090000,5.200000,-0.003831,41408305.000000,213352469.000000,14645574160.000000,14645574160.000000,0.014702,13.487438,2009-09-30,2009-10-31,-662.252408,0.452738,5.102202,1.179680,5.199998
sh600001,2009-11-12,5.190000,5.270000,5.150000,5.220000,0.013592,45137393.000000,235210405.000000,14701903290.000000,14701903290.000000,0.016026,13.539308,2009-09-30,2009-10-31,-664.799254,0.454479,5.121824,1.184217,5.219996
sh600001,2009-11-11,5.220000,5.290000,5.100000,5.150000,-0.011516,55485745.000000,288424784.000000,14504751330.000000,14504751330.000000,0.019701,13.357749,2009-09-30,2009-10-31,-655.884472,0.448384,5.053141,1.168337,5.149997
sh600001,2009-11-10,5.270000,5.310000,5.190000,5.210000,-0.003824,63715216.000000,334572575.000000,14673738720.000000,14673738720.000000,0.022622,13.513369,2009-09-30,2009-10-31,-663.525633,0.453608,5.112011,1.181948,5.209996
sh600001,2009-11-09,5.170000,5.270000,5.140000,5.230000,0.015534,49369754.000000,257478223.000000,14730067860.000000,14730067860.000000,0.017529,13.565242,2009-09-30,2009-10-31,-666.072695,0.455349,5.131635,1.186485,5.229995
sh600001,2009-11-06,5.150000,5.250000,5.130000,5.150000,0.007828,55481871.000000,287385367.000000,14504751330.000000,14504751330.000000,0.019699,13.357743,2009-09-30,2009-10-31,-655.884190,0.448384,5.053139,1.168336,5.149995
sh600001,2009-11-05,5.070000,5.130000,5.000000,5.110000,0.005906,34896206.000000,176944456.000000,14392093070.000000,14392093070.000000,0.012390,13.253991,2009-09-30,2009-10-31,-650.789808,0.444901,5.013890,1.159262,5.109994
sh600001,2009-11-04,5.000000,5.120000,4.960000,5.080000,0.016000,35688046.000000,180326609.000000,14307599370.000000,14307599370.000000,0.012671,13.176173,2009-09-30,2009-10-31,-646.968810,0.442289,4.984452,1.152455,5.079992
sh600001,2009-11-03,4.920000,5.050000,4.880000,5.000000,0.020408,38461203.000000,191947431.000000,14082282850.000000,14082282850.000000,0.013656,12.968674,2009-09-30,2009-10-31,-636.780325,0.435324,4.905957,1.134306,4.999992
sh600001,2009-11-02,4.700000,4.910000,4.660000,4.900000,0.018711,27317365.000000,131048782.000000,13800637190.000000,13800637190.000000,0.009699,12.709302,2009-09-30,2009-10-31,-624.044818,0.426618,4.807838,1.111620,4.899993
sh600001,2009-10-30,4.880000,4.900000,4.800000,4.810000,0.004175,22879262.000000,110688810.000000,13547156100.000000,13547156100.000000,0.008123,12.475866,2009-06-30,2009-08-12,119.059611,0.393438,3.192805,1.102892,4.809993
sh600001,2009-10-29,4.850000,4.860000,4.780000,4.790000,-0.030364,20530965.000000,99006684.000000,13490826970.000000,13490826970.000000,0.007290,12.423996,2009-06-30,2009-08-12,118.564604,0.391802,3.179530,1.098307,4.789995
sh600001,2009-10-28,4.950000,4.970000,4.820000,4.940000,-0.006036,23151365.000000,113557915.000000,13913295450.000000,13913295450.000000,0.008220,12.813052,2009-06-30,2009-08-12,122.277436,0.404071,3.279097,1.132700,4.939993
sh600001,2009-10-27,5.170000,5.170000,4.960000,4.970000,-0.046065,34205024.000000,172779281.000000,13997789150.000000,13997789150.000000,0.012145,12.890861,2009-06-30,2009-08-12,123.019984,0.406525,3.299010,1.139579,4.969992
sh600001,2009-10-26,5.150000,5.210000,5.100000,5.210000,0.013619,43308722.000000,223921359.000000,14673738720.000000,14673738720.000000,0.015377,13.513354,2009-06-30,2009-08-12,128.960552,0.426156,3.458317,1.194608,5.209990
sh600001,2009-10-23,5.060000,5.240000,5.060000,5.140000,0.013807,39405924.000000,202731205.000000,14476586760.000000,14476586760.000000,0.013991,13.331788,2009-06-30,2009-08-12,127.227836,0.420430,3.411851,1.178558,5.139988
sh600001,2009-10-22,5.120000,5.140000,5.060000,5.070000,-0.015534,26695924.000000,135818329.000000,14279434800.000000,14279434800.000000,0.009479,13.150223,2009-06-30,2009-08-12,125.495125,0.414705,3.365385,1.162507,5.069987
sh600001,2009-10-21,5.090000,5.230000,5.030000,5.150000,0.011788,53036203.000000,272023923.000000,14504751330.000000,14504751330.000000,0.018831,13.357722,2009-06-30,2009-08-12,127.475327,0.421248,3.418488,1.180850,5.149987
