code,date,open,high,low,close,change,volume,money,traded_market_value,market_value,turnover,adjust_price,report_type,report_date,PE_TTM,PS_TTM,PC_TTM,PB,adjust_price_f
sh600008,2017-05-24,6.850000,7.170000,6.730000,7.150000,0.012748,253365501.000000,1774394658.000000,34467390979.449997,34467390986.599998,0.052559,51.976285,2017-03-31,2017-04-28,65.777369,2.440517,11.775362,4.333596,7.150000
sh600008,2017-05-23,7.660000,7.830000,6.980000,7.060000,-0.089032,366030186.000000,2715023085.000000,34033535708.380001,34033535715.439999,0.075930,51.322038,2017-03-31,2017-04-28,64.949402,2.409797,11.627141,4.279047,7.060000
sh600008,2017-05-22,7.610000,7.900000,7.410000,7.750000,-0.001289,340064458.000000,2605412246.000000,37359759453.250000,37359759461.000000,0.070544,56.337931,2017-03-31,2017-04-28,71.297148,2.645316,12.763505,4.697254,7.750000
sh600008,2017-05-19,7.750000,7.880000,7.520000,7.760000,-0.011465,346571986.000000,2672072303.000000,37407965594.480003,37407965602.239998,0.071894,56.410625,2017-03-31,2017-04-28,71.389144,2.648729,12.779974,4.703315,7.760000
sh600008,2017-05-18,7.950000,8.280000,7.530000,7.850000,-0.032059,576100728.000000,4550405072.000000,37841820865.550003,37841820873.400002,0.119508,57.064872,2017-03-31,2017-04-28,72.217111,2.679449,12.928195,4.757864,7.850000
sh600008,2017-05-17,8.260000,8.440000,7.920000,8.110000,0.042416,727303830.000000,5916158431.000000,39095180537.529999,39095180545.639999,0.150874,58.954919,2017-03-31,2017-04-28,74.609016,2.768195,13.356390,4.915449,8.110000
sh600008,2017-05-16,6.930000,7.780000,6.850000,7.780000,0.100424,554248471.000000,4140317661.000000,37504377876.940002,37504377884.720001,0.114975,56.556013,2017-03-31,2017-04-28,71.573137,2.655556,12.812912,4.715437,7.780000
sh600008,2017-05-15,7.060000,7.380000,7.010000,7.070000,-0.011189,398835261.000000,2856561787.000000,34081741849.610001,34081741856.680000,0.082735,51.394732,2017-03-31,2017-04-28,65.041398,2.413211,11.643610,4.285108,7.070000
sh600008,2017-05-12,6.720000,7.470000,6.590000,7.150000,0.053019,545403126.000000,3843663886.000000,34467390979.449997,34467390986.599998,0.113140,51.976285,2017-03-31,2017-04-28,65.777369,2.440517,11.775362,4.333596,7.150000
sh600008,2017-05-11,6.480000,6.850000,6.360000,6.790000,0.055988,363068157.000000,2401129617.000000,32731969895.169998,32731969901.959999,0.075316,49.359297,2017-03-31,2017-04-28,62.465501,2.317638,11.182477,4.115401,6.790000
sh600008,2017-05-10,6.880000,6.950000,6.320000,6.430000,-0.073487,345590313.000000,2286701500.000000,30996548810.889999,30996548817.320000,0.071690,46.742309,2017-03-31,2017-04-28,59.153634,2.194759,10.589592,3.897206,6.430000
sh600008,2017-05-09,6.910000,7.040000,6.700000,6.940000,0.001443,320426668.000000,2199787824.000000,33455062013.619999,33455062020.560001,0.066470,50.449709,2017-03-31,2017-04-28,63.845446,2.368838,11.429513,4.206316,6.940000
sh600008,2017-05-08,7.460000,7.540000,6.870000,6.930000,-0.074766,377131661.000000,2730233045.000000,33406855872.389999,33406855879.320000,0.078233,50.377014,2017-03-31,2017-04-28,63.753450,2.365424,11.413043,4.200255,6.930000
sh600008,2017-05-05,7.550000,7.700000,7.220000,7.490000,-0.027273,472772097.000000,3520501934.000000,36106399781.269997,36106399788.760002,0.098073,54.447884,2017-03-31,2017-04-28,68.905244,2.556570,12.335310,4.539669,7.490000
sh600008,2017-05-04,6.990000,7.820000,6.950000,7.700000,0.082982,804118444.000000,6146013110.000000,37118728747.099998,37118728754.800003,0.166808,55.974460,2017-03-31,2017-04-28,70.837167,2.628249,12.681159,4.666950,7.700000
sh600008,2017-05-03,7.580000,7.610000,7.080000,7.110000,-0.087291,461936964.000000,3389885971.000000,34274566414.529999,34274566421.639999,0.095825,51.685508,2017-03-31,2017-04-28,65.409384,2.426864,11.709486,4.309352,7.110000
sh600008,2017-05-02,7.510000,7.840000,7.280000,7.790000,0.037284,549642965.000000,4156100348.000000,37552584018.169998,37552584025.959999,0.114019,56.628707,2017-03-31,2017-04-28,71.665133,2.658969,12.829381,4.721498,7.790000
