交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20160414,IF1604                        ,期货公司,25104,-13984,8994,-8760,8994,-8760
20160414,IF1604                        ,非期货公司,0,0,0,0,0,0
20160414,IF1605                        ,期货公司,26258,4166,24575,6894,24575,6894
20160414,IF1605                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20160414,IF1604                        ,1,中信期货    ,2364,-431,国投中谷    ,964,-502,中信期货    ,1000,-1073
20160414,IF1604                        ,2,国泰君安    ,2109,-435,国泰君安    ,846,-867,华泰期货    ,746,-379
20160414,IF1604                        ,3,华泰期货    ,1487,-538,中信期货    ,630,-997,南华期货    ,592,-331
20160414,IF1604                        ,4,海通期货    ,1435,-1082,海通期货    ,498,-435,上海东证    ,577,-26
20160414,IF1604                        ,5,银河期货    ,963,-596,中金期货    ,480,-626,永安期货    ,470,-206
20160414,IF1604                        ,6,光大期货    ,886,-516,永安期货    ,412,-465,银河期货    ,389,-286
20160414,IF1604                        ,7,广发期货    ,791,-788,华泰期货    ,335,-724,国泰君安    ,370,-908
20160414,IF1604                        ,8,上海东证    ,767,-169,鲁证期货    ,307,-145,海通期货    ,315,-444
20160414,IF1604                        ,9,永安期货    ,765,-433,银河期货    ,273,-203,广发期货    ,307,-224
20160414,IF1604                        ,10,方正中期    ,727,-417,南华期货    ,272,-88,光大期货    ,271,-487
20160414,IF1604                        ,11,国投中谷    ,719,-484,广发期货    ,259,-335,招商期货    ,251,-246
20160414,IF1604                        ,12,中金期货    ,704,226,方正中期    ,206,-93,兴证期货    ,229,-330
20160414,IF1604                        ,13,兴证期货    ,689,-779,招商期货    ,174,-107,鲁证期货    ,219,-165
20160414,IF1604                        ,14,申银万国    ,610,-98,申银万国    ,157,-148,中信建投    ,190,-175
20160414,IF1604                        ,15,招商期货    ,507,-412,光大期货    ,147,-151,国金期货    ,173,-108
20160414,IF1604                        ,16,南华期货    ,497,-742,西部期货    ,145,-36,国信期货    ,146,-122
20160414,IF1604                        ,17,鲁证期货    ,448,-544,浙商期货    ,129,-54,浙商期货    ,141,-43
20160414,IF1604                        ,18,五矿经易    ,399,-382,东航期货    ,121,-66,国投中谷    ,139,-151
20160414,IF1604                        ,19,国信期货    ,369,-86,兴证期货    ,120,-269,方正中期    ,133,-456
20160414,IF1604                        ,20,中信建投    ,343,-273,中大期货    ,117,-53,北京首创    ,125,-7
20160414,IF1605                        ,1,国泰君安    ,2350,803,国泰君安    ,3462,578,中信期货    ,2579,512
20160414,IF1605                        ,2,中信期货    ,2042,-41,中信期货    ,2845,892,国泰君安    ,1678,888
20160414,IF1605                        ,3,华泰期货    ,1598,513,中金期货    ,2151,595,方正中期    ,1667,445
20160414,IF1605                        ,4,永安期货    ,1283,81,华泰期货    ,1583,623,光大期货    ,1603,383
20160414,IF1605                        ,5,光大期货    ,1224,-30,海通期货    ,1415,373,华泰期货    ,1455,355
20160414,IF1605                        ,6,海通期货    ,1174,-198,永安期货    ,1021,89,南华期货    ,1342,193
20160414,IF1605                        ,7,兴证期货    ,1091,393,银河期货    ,1003,133,海通期货    ,1215,233
20160414,IF1605                        ,8,银河期货    ,916,298,五矿经易    ,729,93,广发期货    ,964,168
20160414,IF1605                        ,9,方正中期    ,786,-102,申银万国    ,672,126,银河期货    ,904,249
20160414,IF1605                        ,10,中金期货    ,782,193,广发期货    ,667,282,兴证期货    ,880,316
20160414,IF1605                        ,11,南华期货    ,766,17,兴证期货    ,596,201,永安期货    ,733,190
20160414,IF1605                        ,12,广发期货    ,652,64,上海东证    ,490,154,中金期货    ,681,171
20160414,IF1605                        ,13,申银万国    ,587,90,光大期货    ,488,95,国投中谷    ,600,160
20160414,IF1605                        ,14,招商期货    ,535,128,国投中谷    ,459,287,五矿经易    ,543,121
20160414,IF1605                        ,15,国投中谷    ,521,206,南华期货    ,413,125,招商期货    ,506,102
20160414,IF1605                        ,16,鲁证期货    ,520,37,鲁证期货    ,405,196,鲁证期货    ,498,210
20160414,IF1605                        ,17,上海东证    ,480,77,招商期货    ,385,149,平安期货    ,435,20
20160414,IF1605                        ,18,国信期货    ,464,68,国信期货    ,345,145,中信建投    ,405,137
20160414,IF1605                        ,19,中信建投    ,446,105,中信建投    ,243,73,国信期货    ,397,123
20160414,IF1605                        ,20,五矿经易    ,366,-296,方正中期    ,234,61,申银万国    ,343,171
