交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20160324,IF1604                        ,期货公司,38190,3544,34318,-614,34318,-614
20160324,IF1604                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20160324,IF1604                        ,1,海通期货    ,2313,356,国泰君安    ,3570,-18,中信期货    ,3422,-285
20160324,IF1604                        ,2,中信期货    ,2312,390,中信期货    ,3166,-31,国泰君安    ,2553,-58
20160324,IF1604                        ,3,华泰期货    ,2182,392,海通期货    ,2925,384,光大期货    ,2167,-29
20160324,IF1604                        ,4,国泰君安    ,1998,-156,中金期货    ,2509,54,南华期货    ,2046,20
20160324,IF1604                        ,5,兴证期货    ,1775,12,国投中谷    ,1622,200,华泰期货    ,1836,-313
20160324,IF1604                        ,6,永安期货    ,1666,782,银河期货    ,1593,6,海通期货    ,1700,57
20160324,IF1604                        ,7,光大期货    ,1647,-84,华泰期货    ,1326,-27,广发期货    ,1454,10
20160324,IF1604                        ,8,银河期货    ,1552,79,兴证期货    ,1048,19,五矿经易    ,1204,4
20160324,IF1604                        ,9,广发期货    ,1175,-111,永安期货    ,1033,-660,兴证期货    ,1156,38
20160324,IF1604                        ,10,招商期货    ,927,259,五矿经易    ,994,-55,招商期货    ,1047,-22
20160324,IF1604                        ,11,上海东证    ,927,69,申银万国    ,969,9,方正中期    ,1033,17
20160324,IF1604                        ,12,南华期货    ,924,179,鲁证期货    ,891,76,银河期货    ,1024,12
20160324,IF1604                        ,13,鲁证期货    ,912,171,广发期货    ,851,-57,永安期货    ,871,-144
20160324,IF1604                        ,14,申银万国    ,898,97,光大期货    ,761,-30,鲁证期货    ,845,88
20160324,IF1604                        ,15,方正中期    ,845,50,南华期货    ,631,-32,国投中谷    ,775,41
20160324,IF1604                        ,16,中信建投    ,676,43,招商期货    ,472,-141,中信建投    ,738,-16
20160324,IF1604                        ,17,五矿经易    ,641,-1,上海东证    ,465,-100,中金期货    ,587,-31
20160324,IF1604                        ,18,西部期货    ,607,96,方正中期    ,450,2,国信期货    ,562,35
20160324,IF1604                        ,19,国投中谷    ,573,-42,宏源期货    ,437,23,上海东证    ,555,-113
20160324,IF1604                        ,20,国信期货    ,548,48,中信建投    ,383,44,宝城期货    ,540,-31
