交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20160323,IF1604                        ,期货公司,34646,1458,34932,589,34932,589
20160323,IF1604                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20160323,IF1604                        ,1,国泰君安    ,2154,191,国泰君安    ,3588,31,中信期货    ,3707,165
20160323,IF1604                        ,2,海通期货    ,1957,113,中信期货    ,3197,75,国泰君安    ,2611,13
20160323,IF1604                        ,3,中信期货    ,1922,54,海通期货    ,2541,90,光大期货    ,2196,57
20160323,IF1604                        ,4,华泰期货    ,1790,97,中金期货    ,2455,-14,华泰期货    ,2149,-156
20160323,IF1604                        ,5,兴证期货    ,1763,76,永安期货    ,1693,-104,南华期货    ,2026,77
20160323,IF1604                        ,6,光大期货    ,1731,257,银河期货    ,1587,39,海通期货    ,1643,43
20160323,IF1604                        ,7,银河期货    ,1473,98,国投中谷    ,1422,183,广发期货    ,1444,21
20160323,IF1604                        ,8,广发期货    ,1286,140,华泰期货    ,1353,-24,五矿经易    ,1200,23
20160323,IF1604                        ,9,永安期货    ,884,24,五矿经易    ,1049,101,兴证期货    ,1118,-5
20160323,IF1604                        ,10,上海东证    ,858,-283,兴证期货    ,1029,-60,招商期货    ,1069,-8
20160323,IF1604                        ,11,申银万国    ,801,77,申银万国    ,960,26,方正中期    ,1016,13
20160323,IF1604                        ,12,方正中期    ,795,91,广发期货    ,908,-111,永安期货    ,1015,14
20160323,IF1604                        ,13,南华期货    ,745,-152,鲁证期货    ,815,37,银河期货    ,1012,78
20160323,IF1604                        ,14,鲁证期货    ,741,23,光大期货    ,791,46,鲁证期货    ,757,-20
20160323,IF1604                        ,15,招商期货    ,668,19,南华期货    ,663,8,中信建投    ,754,85
20160323,IF1604                        ,16,五矿经易    ,642,-74,招商期货    ,613,50,国投中谷    ,734,20
20160323,IF1604                        ,17,中信建投    ,633,39,上海东证    ,565,-64,上海东证    ,668,-10
20160323,IF1604                        ,18,国投中谷    ,615,32,方正中期    ,448,0,中金期货    ,618,23
20160323,IF1604                        ,19,浙商期货    ,557,-10,宏源期货    ,414,-15,宝城期货    ,571,30
20160323,IF1604                        ,20,西部期货    ,511,8,西部期货    ,394,-5,国信期货    ,527,32
