交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20160422,IF1605                        ,期货公司,30716,-7042,32165,-651,32165,-651
20160422,IF1605                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20160422,IF1605                        ,1,中信期货    ,1983,-440,国泰君安    ,3793,-64,中信期货    ,3505,30
20160422,IF1605                        ,2,海通期货    ,1916,-453,中信期货    ,3374,29,国泰君安    ,2272,55
20160422,IF1605                        ,3,国泰君安    ,1889,-849,中金期货    ,2524,-153,华泰期货    ,1993,-170
20160422,IF1605                        ,4,华泰期货    ,1636,-89,海通期货    ,2105,14,方正中期    ,1820,-17
20160422,IF1605                        ,5,兴证期货    ,1537,-116,华泰期货    ,1903,-106,光大期货    ,1736,0
20160422,IF1605                        ,6,银河期货    ,1198,-328,永安期货    ,1627,44,海通期货    ,1707,-8
20160422,IF1605                        ,7,光大期货    ,1178,-366,国投中谷    ,1341,-54,南华期货    ,1461,46
20160422,IF1605                        ,8,广发期货    ,1016,-217,银河期货    ,1328,-17,广发期货    ,1329,-39
20160422,IF1605                        ,9,鲁证期货    ,769,-34,鲁证期货    ,936,57,银河期货    ,1031,-77
20160422,IF1605                        ,10,南华期货    ,727,-172,光大期货    ,879,-16,中金期货    ,939,6
20160422,IF1605                        ,11,五矿经易    ,719,7,广发期货    ,853,-21,兴证期货    ,833,-77
20160422,IF1605                        ,12,申银万国    ,685,-275,兴证期货    ,853,-20,招商期货    ,750,52
20160422,IF1605                        ,13,上海东证    ,654,-159,上海东证    ,799,-9,鲁证期货    ,725,42
20160422,IF1605                        ,14,招商期货    ,623,-156,申银万国    ,744,-2,国投中谷    ,723,-20
20160422,IF1605                        ,15,中信建投    ,612,-78,五矿经易    ,708,57,永安期货    ,716,8
20160422,IF1605                        ,16,永安期货    ,576,-337,南华期货    ,629,-29,国信期货    ,684,13
20160422,IF1605                        ,17,浙商期货    ,570,-116,招商期货    ,464,11,平安期货    ,625,24
20160422,IF1605                        ,18,西部期货    ,540,12,方正中期    ,369,1,中信建投    ,623,-53
20160422,IF1605                        ,19,方正中期    ,488,-224,中大期货    ,345,-1,五矿经易    ,588,16
20160422,IF1605                        ,20,华鑫期货    ,434,-130,国信期货    ,337,38,上海东证    ,578,45
