交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20160407,IF1604                        ,期货公司,36858,7816,34835,-314,34835,-314
20160407,IF1604                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20160407,IF1604                        ,1,中信期货    ,2269,271,国泰君安    ,3851,-28,中信期货    ,3350,-129
20160407,IF1604                        ,2,海通期货    ,2218,448,中信期货    ,3103,-16,国泰君安    ,2195,87
20160407,IF1604                        ,3,国泰君安    ,2201,206,海通期货    ,2595,-51,光大期货    ,2126,-41
20160407,IF1604                        ,4,兴证期货    ,1964,491,国投中谷    ,2463,15,南华期货    ,2073,-128
20160407,IF1604                        ,5,华泰期货    ,1941,-12,中金期货    ,2374,-27,华泰期货    ,1979,-193
20160407,IF1604                        ,6,光大期货    ,1595,250,永安期货    ,1952,-94,方正中期    ,1640,85
20160407,IF1604                        ,7,银河期货    ,1444,182,华泰期货    ,1730,-40,广发期货    ,1398,23
20160407,IF1604                        ,8,广发期货    ,1168,-192,银河期货    ,1554,6,海通期货    ,1392,-221
20160407,IF1604                        ,9,永安期货    ,1141,392,广发期货    ,964,3,招商期货    ,1199,-49
20160407,IF1604                        ,10,南华期货    ,936,299,兴证期货    ,787,-3,兴证期货    ,1162,-129
20160407,IF1604                        ,11,申银万国    ,930,309,上海东证    ,692,-46,银河期货    ,1162,76
20160407,IF1604                        ,12,招商期货    ,896,290,光大期货    ,687,30,永安期货    ,1031,-45
20160407,IF1604                        ,13,鲁证期货    ,831,228,宏源期货    ,669,0,鲁证期货    ,957,118
20160407,IF1604                        ,14,上海东证    ,732,172,招商期货    ,625,45,五矿经易    ,910,34
20160407,IF1604                        ,15,方正中期    ,644,154,申银万国    ,595,-96,国投中谷    ,750,10
20160407,IF1604                        ,16,中信建投    ,611,89,南华期货    ,586,-12,中信建投    ,733,25
20160407,IF1604                        ,17,国信期货    ,598,129,鲁证期货    ,585,13,上海东证    ,619,-12
20160407,IF1604                        ,18,浙商期货    ,575,68,五矿经易    ,411,32,国信期货    ,606,25
20160407,IF1604                        ,19,西部期货    ,530,133,方正中期    ,405,-7,申银万国    ,605,42
20160407,IF1604                        ,20,五矿经易    ,506,137,国信期货    ,388,-7,中金期货    ,479,-165
