交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20160315,IF1603                        ,期货公司,37990,-5556,23164,-4694,23164,-4694
20160315,IF1603                        ,非期货公司,0,0,0,0,0,0
20160315,IF1604                        ,期货公司,14424,3546,12625,3525,12625,3525
20160315,IF1604                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20160315,IF1603                        ,1,中信期货    ,2743,36,国投中谷    ,2373,-59,国泰君安    ,1922,-267
20160315,IF1603                        ,2,国泰君安    ,2676,-295,中信期货    ,1906,-124,中信期货    ,1774,-815
20160315,IF1603                        ,3,海通期货    ,2265,14,广发期货    ,1794,-167,海通期货    ,1397,-235
20160315,IF1603                        ,4,华泰期货    ,1978,-491,国泰君安    ,1649,-603,南华期货    ,1379,-343
20160315,IF1603                        ,5,兴证期货    ,1824,-529,海通期货    ,1530,-284,广发期货    ,1066,-164
20160315,IF1603                        ,6,银河期货    ,1433,-542,中金期货    ,1266,-592,光大期货    ,1025,-277
20160315,IF1603                        ,7,光大期货    ,1413,-189,银河期货    ,1014,-101,华泰期货    ,991,-274
20160315,IF1603                        ,8,广发期货    ,1275,-126,华泰期货    ,881,-408,五矿经易    ,878,-114
20160315,IF1603                        ,9,上海东证    ,1164,-211,鲁证期货    ,840,-24,上海东证    ,847,-177
20160315,IF1603                        ,10,申银万国    ,1037,-201,兴证期货    ,781,-120,方正中期    ,836,-57
20160315,IF1603                        ,11,南华期货    ,944,185,永安期货    ,582,-160,银河期货    ,685,-40
20160315,IF1603                        ,12,招商期货    ,884,-155,光大期货    ,451,-148,兴证期货    ,659,-280
20160315,IF1603                        ,13,永安期货    ,863,-383,招商期货    ,421,-132,鲁证期货    ,655,-48
20160315,IF1603                        ,14,中金期货    ,821,585,上海东证    ,408,-67,招商期货    ,646,-170
20160315,IF1603                        ,15,方正中期    ,737,-81,申银万国    ,354,-200,永安期货    ,557,-131
20160315,IF1603                        ,16,五矿经易    ,725,7,南华期货    ,279,-77,国投中谷    ,545,-109
20160315,IF1603                        ,17,中信建投    ,573,-205,方正中期    ,247,-76,东兴期货    ,420,-16
20160315,IF1603                        ,18,浙商期货    ,531,-128,浙商期货    ,223,-36,申银万国    ,374,-45
20160315,IF1603                        ,19,国信期货    ,529,-160,五矿经易    ,221,-65,西部期货    ,342,12
20160315,IF1603                        ,20,鲁证期货    ,514,-187,宏源期货    ,220,-30,中信建投    ,337,-79
20160315,IF1604                        ,1,光大期货    ,1107,403,国泰君安    ,1857,579,华泰期货    ,1425,148
20160315,IF1604                        ,2,国泰君安    ,988,496,中金期货    ,1209,561,光大期货    ,1005,347
20160315,IF1604                        ,3,海通期货    ,966,311,海通期货    ,670,170,南华期货    ,855,438
20160315,IF1604                        ,4,中金期货    ,806,486,中信期货    ,623,99,中信期货    ,727,151
20160315,IF1604                        ,5,华泰期货    ,744,-71,国投中谷    ,588,223,海通期货    ,647,294
20160315,IF1604                        ,6,南华期货    ,699,370,永安期货    ,574,84,国泰君安    ,629,181
20160315,IF1604                        ,7,中信期货    ,524,-75,银河期货    ,542,109,招商期货    ,621,95
20160315,IF1604                        ,8,永安期货    ,519,-227,五矿经易    ,487,16,中信建投    ,466,76
20160315,IF1604                        ,9,招商期货    ,438,213,申银万国    ,453,208,广发期货    ,453,143
20160315,IF1604                        ,10,广发期货    ,405,158,华泰期货    ,430,188,中金期货    ,420,97
20160315,IF1604                        ,11,国投中谷    ,392,158,广发期货    ,399,130,兴证期货    ,419,143
20160315,IF1604                        ,12,银河期货    ,384,-139,光大期货    ,397,168,东兴期货    ,369,358
20160315,IF1604                        ,13,东兴期货    ,375,347,兴证期货    ,349,62,国金期货    ,354,9
20160315,IF1604                        ,14,申银万国    ,337,184,招商期货    ,312,175,上海东证    ,298,3
20160315,IF1604                        ,15,兴证期货    ,329,-28,中大期货    ,235,27,永安期货    ,293,-73
20160315,IF1604                        ,16,方正中期    ,295,49,国信期货    ,223,88,国信期货    ,276,74
20160315,IF1604                        ,17,宏源期货    ,270,47,鲁证期货    ,212,88,银河期货    ,265,125
20160315,IF1604                        ,18,鲁证期货    ,267,53,宏源期货    ,184,24,平安期货    ,255,-18
20160315,IF1604                        ,19,华西期货    ,257,-74,南华期货    ,181,33,鲁证期货    ,244,87
20160315,IF1604                        ,20,中信建投    ,239,30,方正中期    ,172,20,国投中谷    ,163,89
