交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20160418,IF1605                        ,期货公司,31444,1404,31001,1418,31001,1418
20160418,IF1605                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20160418,IF1605                        ,1,中信期货    ,2126,-249,国泰君安    ,4176,-45,中信期货    ,3307,7
20160418,IF1605                        ,2,国泰君安    ,2090,-250,中信期货    ,3274,-37,华泰期货    ,1935,151
20160418,IF1605                        ,3,海通期货    ,2019,536,中金期货    ,2567,31,国泰君安    ,1868,21
20160418,IF1605                        ,4,兴证期货    ,1501,149,华泰期货    ,1786,83,方正中期    ,1766,39
20160418,IF1605                        ,5,华泰期货    ,1476,21,海通期货    ,1661,89,光大期货    ,1717,-71
20160418,IF1605                        ,6,光大期货    ,1372,66,永安期货    ,1428,28,海通期货    ,1629,172
20160418,IF1605                        ,7,银河期货    ,1175,108,银河期货    ,1219,117,南华期货    ,1511,60
20160418,IF1605                        ,8,广发期货    ,946,-307,国投中谷    ,1013,292,广发期货    ,1316,12
20160418,IF1605                        ,9,申银万国    ,831,154,广发期货    ,870,16,银河期货    ,1194,46
20160418,IF1605                        ,10,南华期货    ,784,-66,鲁证期货    ,760,149,兴证期货    ,1009,45
20160418,IF1605                        ,11,鲁证期货    ,779,220,兴证期货    ,752,86,永安期货    ,860,18
20160418,IF1605                        ,12,永安期货    ,752,-220,申银万国    ,698,-80,鲁证期货    ,769,158
20160418,IF1605                        ,13,上海东证    ,718,43,上海东证    ,691,1,中金期货    ,746,6
20160418,IF1605                        ,14,中信建投    ,710,121,南华期货    ,658,78,国投中谷    ,694,7
20160418,IF1605                        ,15,五矿经易    ,695,-108,五矿经易    ,653,24,招商期货    ,645,-9
20160418,IF1605                        ,16,招商期货    ,665,44,光大期货    ,614,65,五矿经易    ,595,-45
20160418,IF1605                        ,17,方正中期    ,530,-13,招商期货    ,492,-26,中信建投    ,549,53
20160418,IF1605                        ,18,国投中谷    ,523,10,国信期货    ,407,-27,国信期货    ,540,27
20160418,IF1605                        ,19,浙商期货    ,511,83,方正中期    ,386,63,平安期货    ,530,42
20160418,IF1605                        ,20,东航期货    ,465,154,中信建投    ,346,19,申银万国    ,509,35
