交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20160331,IF1604                        ,期货公司,36306,-3666,34448,-248,34448,-248
20160331,IF1604                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20160331,IF1604                        ,1,国泰君安    ,2471,-53,国泰君安    ,3674,144,中信期货    ,3267,-252
20160331,IF1604                        ,2,中信期货    ,2225,-140,中信期货    ,3077,-63,国泰君安    ,2307,-161
20160331,IF1604                        ,3,海通期货    ,1893,-482,海通期货    ,3014,-69,南华期货    ,2178,-12
20160331,IF1604                        ,4,兴证期货    ,1791,-153,中金期货    ,2554,93,光大期货    ,2160,107
20160331,IF1604                        ,5,光大期货    ,1536,-217,国投中谷    ,2181,84,华泰期货    ,2027,39
20160331,IF1604                        ,6,银河期货    ,1534,-227,银河期货    ,1540,-56,广发期货    ,1760,-81
20160331,IF1604                        ,7,华泰期货    ,1478,-473,永安期货    ,1508,416,海通期货    ,1636,62
20160331,IF1604                        ,8,永安期货    ,1367,43,华泰期货    ,1310,-49,方正中期    ,1325,104
20160331,IF1604                        ,9,广发期货    ,1262,-96,兴证期货    ,931,-34,招商期货    ,1189,11
20160331,IF1604                        ,10,申银万国    ,939,-46,广发期货    ,895,-7,兴证期货    ,1126,21
20160331,IF1604                        ,11,上海东证    ,916,-162,申银万国    ,771,-161,银河期货    ,1002,44
20160331,IF1604                        ,12,南华期货    ,818,-107,鲁证期货    ,710,-137,五矿经易    ,862,-76
20160331,IF1604                        ,13,鲁证期货    ,791,-110,光大期货    ,688,-23,永安期货    ,810,-23
20160331,IF1604                        ,14,招商期货    ,785,-46,宏源期货    ,678,263,鲁证期货    ,809,24
20160331,IF1604                        ,15,方正中期    ,737,-179,南华期货    ,597,-2,国投中谷    ,725,-7
20160331,IF1604                        ,16,宏源期货    ,693,270,招商期货    ,543,24,中信建投    ,720,-34
20160331,IF1604                        ,17,中信建投    ,679,-87,上海东证    ,511,131,中金期货    ,617,-10
20160331,IF1604                        ,18,五矿经易    ,622,-8,五矿经易    ,436,-4,上海东证    ,589,-191
20160331,IF1604                        ,19,国信期货    ,598,-131,国信期货    ,385,-46,国信期货    ,572,60
20160331,IF1604                        ,20,华鑫期货    ,591,127,中大期货    ,385,-20,申银万国    ,529,-2
