交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20160302,IF1603                        ,期货公司,48908,2212,38725,732,38725,732
20160302,IF1603                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20160302,IF1603                        ,1,国泰君安    ,3285,171,国泰君安    ,3441,-22,中信期货    ,3451,113
20160302,IF1603                        ,2,中信期货    ,2908,76,广发期货    ,2654,-68,华泰期货    ,2826,49
20160302,IF1603                        ,3,海通期货    ,2549,-1,中信期货    ,2558,21,海通期货    ,2628,10
20160302,IF1603                        ,4,兴证期货    ,2267,-33,中金期货    ,2476,53,国泰君安    ,2620,311
20160302,IF1603                        ,5,华泰期货    ,2259,-419,国投中谷    ,2464,-14,光大期货    ,1834,246
20160302,IF1603                        ,6,光大期货    ,2095,252,海通期货    ,2262,-23,广发期货    ,1789,-94
20160302,IF1603                        ,7,银河期货    ,2006,-26,永安期货    ,1820,225,南华期货    ,1695,-21
20160302,IF1603                        ,8,永安期货    ,1863,727,银河期货    ,1707,49,招商期货    ,1547,-72
20160302,IF1603                        ,9,上海东证    ,1757,418,华泰期货    ,1450,22,兴证期货    ,1542,34
20160302,IF1603                        ,10,广发期货    ,1604,-17,兴证期货    ,1095,45,上海东证    ,1191,127
20160302,IF1603                        ,11,申银万国    ,1224,-156,五矿经易    ,944,288,五矿经易    ,1039,5
20160302,IF1603                        ,12,招商期货    ,1123,-29,申银万国    ,943,81,中金期货    ,1033,145
20160302,IF1603                        ,13,南华期货    ,1098,-65,上海东证    ,822,312,永安期货    ,996,162
20160302,IF1603                        ,14,中信建投    ,979,135,光大期货    ,759,-37,银河期货    ,975,-17
20160302,IF1603                        ,15,方正中期    ,955,-44,南华期货    ,691,-41,中信建投    ,876,-35
20160302,IF1603                        ,16,五矿经易    ,941,340,招商期货    ,586,-39,鲁证期货    ,855,67
20160302,IF1603                        ,17,国信期货    ,849,-86,西部期货    ,572,53,国投中谷    ,811,-16
20160302,IF1603                        ,18,鲁证期货    ,758,-110,鲁证期货    ,566,-11,长江期货    ,699,-2
20160302,IF1603                        ,19,浙商期货    ,749,-64,瑞达期货    ,550,-11,国金期货    ,632,-26
20160302,IF1603                        ,20,宏源期货    ,661,127,方正中期    ,524,2,国信期货    ,618,0
