交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20160308,IF1603                        ,期货公司,45548,2832,35263,-864,35263,-864
20160308,IF1603                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20160308,IF1603                        ,1,国泰君安    ,2997,220,国泰君安    ,2904,-218,中信期货    ,2916,-418
20160308,IF1603                        ,2,中信期货    ,2799,180,国投中谷    ,2714,5,国泰君安    ,2521,-95
20160308,IF1603                        ,3,海通期货    ,2599,195,中信期货    ,2662,25,华泰期货    ,2294,-132
20160308,IF1603                        ,4,华泰期货    ,2320,61,广发期货    ,2572,-16,海通期货    ,1937,34
20160308,IF1603                        ,5,兴证期货    ,2190,53,中金期货    ,2434,-40,光大期货    ,1834,44
20160308,IF1603                        ,6,银河期货    ,1977,293,海通期货    ,2130,-99,南华期货    ,1775,146
20160308,IF1603                        ,7,光大期货    ,1956,55,永安期货    ,1659,374,广发期货    ,1553,-28
20160308,IF1603                        ,8,永安期货    ,1777,507,华泰期货    ,1570,-36,兴证期货    ,1532,-110
20160308,IF1603                        ,9,广发期货    ,1486,50,银河期货    ,1515,-179,上海东证    ,1102,-77
20160308,IF1603                        ,10,上海东证    ,1260,-104,兴证期货    ,1054,12,招商期货    ,1093,-61
20160308,IF1603                        ,11,招商期货    ,1220,174,申银万国    ,719,-17,中金期货    ,1066,152
20160308,IF1603                        ,12,申银万国    ,1173,114,鲁证期货    ,715,90,五矿经易    ,982,-167
20160308,IF1603                        ,13,方正中期    ,936,-148,光大期货    ,696,32,方正中期    ,968,85
20160308,IF1603                        ,14,南华期货    ,881,-105,南华期货    ,620,-57,永安期货    ,943,-75
20160308,IF1603                        ,15,国信期货    ,861,138,招商期货    ,581,-63,银河期货    ,913,-32
20160308,IF1603                        ,16,鲁证期货    ,813,98,瑞达期货    ,501,-9,鲁证期货    ,898,-67
20160308,IF1603                        ,17,五矿经易    ,811,145,安粮期货    ,452,-19,国投中谷    ,761,15
20160308,IF1603                        ,18,西部期货    ,803,257,上海东证    ,445,-117,长江期货    ,704,7
20160308,IF1603                        ,19,中信建投    ,730,19,五矿经易    ,407,-26,中信建投    ,628,-44
20160308,IF1603                        ,20,浙商期货    ,709,59,国信期货    ,397,-42,国信期货    ,568,-1
