交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20160328,IF1604                        ,期货公司,36522,6280,34930,625,34930,625
20160328,IF1604                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20160328,IF1604                        ,1,中信期货    ,2394,469,国泰君安    ,3478,-97,中信期货    ,3591,-42
20160328,IF1604                        ,2,国泰君安    ,2082,193,中信期货    ,3180,-80,国泰君安    ,2660,51
20160328,IF1604                        ,3,海通期货    ,1890,176,海通期货    ,3041,139,光大期货    ,2095,-117
20160328,IF1604                        ,4,兴证期货    ,1815,213,中金期货    ,2468,-11,南华期货    ,2077,56
20160328,IF1604                        ,5,华泰期货    ,1732,306,国投中谷    ,2049,236,华泰期货    ,1844,-4
20160328,IF1604                        ,6,光大期货    ,1646,337,银河期货    ,1578,-10,广发期货    ,1632,69
20160328,IF1604                        ,7,银河期货    ,1529,238,华泰期货    ,1290,-14,海通期货    ,1560,73
20160328,IF1604                        ,8,广发期货    ,1250,26,永安期货    ,1208,165,五矿经易    ,1151,-42
20160328,IF1604                        ,9,永安期货    ,1043,462,五矿经易    ,1157,233,方正中期    ,1147,124
20160328,IF1604                        ,10,方正中期    ,911,151,兴证期货    ,997,17,兴证期货    ,1118,-18
20160328,IF1604                        ,11,申银万国    ,881,220,申银万国    ,922,-6,招商期货    ,1114,12
20160328,IF1604                        ,12,五矿经易    ,869,332,鲁证期货    ,886,4,银河期货    ,1027,59
20160328,IF1604                        ,13,南华期货    ,819,160,广发期货    ,837,-29,永安期货    ,922,66
20160328,IF1604                        ,14,招商期货    ,777,116,光大期货    ,748,7,鲁证期货    ,845,3
20160328,IF1604                        ,15,上海东证    ,766,103,南华期货    ,608,5,中信建投    ,788,47
20160328,IF1604                        ,16,中信建投    ,724,142,招商期货    ,485,29,国投中谷    ,769,22
20160328,IF1604                        ,17,西部期货    ,613,195,上海东证    ,465,33,国信期货    ,634,77
20160328,IF1604                        ,18,鲁证期货    ,587,-127,西部期货    ,421,121,中金期货    ,581,-6
20160328,IF1604                        ,19,国投中谷    ,572,85,方正中期    ,421,3,申银万国    ,566,69
20160328,IF1604                        ,20,浙商期货    ,543,-14,宏源期货    ,419,-3,宝城期货    ,559,10
