交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20160419,IF1605                        ,期货公司,30550,-894,31416,415,31416,415
20160419,IF1605                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20160419,IF1605                        ,1,国泰君安    ,1965,-125,国泰君安    ,4243,67,中信期货    ,3414,107
20160419,IF1605                        ,2,中信期货    ,1914,-212,中信期货    ,3243,-31,国泰君安    ,2016,148
20160419,IF1605                        ,3,海通期货    ,1895,-124,中金期货    ,2612,45,华泰期货    ,1927,-8
20160419,IF1605                        ,4,兴证期货    ,1583,82,华泰期货    ,1766,-20,方正中期    ,1799,33
20160419,IF1605                        ,5,华泰期货    ,1448,-28,海通期货    ,1722,61,光大期货    ,1751,34
20160419,IF1605                        ,6,银河期货    ,1266,91,永安期货    ,1420,-8,海通期货    ,1725,96
20160419,IF1605                        ,7,光大期货    ,1237,-135,银河期货    ,1248,29,南华期货    ,1553,42
20160419,IF1605                        ,8,广发期货    ,1136,190,国投中谷    ,1207,194,广发期货    ,1358,42
20160419,IF1605                        ,9,鲁证期货    ,793,14,广发期货    ,850,-20,银河期货    ,1101,-93
20160419,IF1605                        ,10,南华期货    ,785,1,鲁证期货    ,814,54,兴证期货    ,941,-68
20160419,IF1605                        ,11,申银万国    ,762,-69,兴证期货    ,773,21,永安期货    ,854,-6
20160419,IF1605                        ,12,上海东证    ,711,-7,上海东证    ,737,46,中金期货    ,829,83
20160419,IF1605                        ,13,永安期货    ,672,-80,申银万国    ,735,37,鲁证期货    ,746,-23
20160419,IF1605                        ,14,招商期货    ,615,-50,五矿经易    ,663,10,国投中谷    ,712,18
20160419,IF1605                        ,15,中信建投    ,598,-112,光大期货    ,635,21,招商期货    ,687,42
20160419,IF1605                        ,16,方正中期    ,566,36,南华期货    ,557,-101,国信期货    ,572,32
20160419,IF1605                        ,17,五矿经易    ,565,-130,招商期货    ,533,41,中信建投    ,555,6
20160419,IF1605                        ,18,浙商期货    ,503,-8,方正中期    ,357,-29,五矿经易    ,544,-51
20160419,IF1605                        ,19,东航期货    ,486,21,中信建投    ,352,6,申银万国    ,518,9
20160419,IF1605                        ,20,国投中谷    ,472,-51,国信期货    ,331,-76,平安期货    ,495,-35
