交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20160311,IF1603                        ,期货公司,39508,874,30618,-1966,30618,-1966
20160311,IF1603                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20160311,IF1603                        ,1,国泰君安    ,2644,58,国投中谷    ,2723,12,中信期货    ,2486,-50
20160311,IF1603                        ,2,华泰期货    ,2217,81,国泰君安    ,2441,-202,国泰君安    ,2093,-274
20160311,IF1603                        ,3,中信期货    ,2201,-5,中信期货    ,2200,-83,海通期货    ,1790,-13
20160311,IF1603                        ,4,海通期货    ,2174,-34,广发期货    ,2162,-346,南华期货    ,1783,43
20160311,IF1603                        ,5,兴证期货    ,1663,126,中金期货    ,2018,-252,华泰期货    ,1724,-484
20160311,IF1603                        ,6,光大期货    ,1639,0,海通期货    ,1975,-137,光大期货    ,1456,-76
20160311,IF1603                        ,7,银河期货    ,1572,38,银河期货    ,1440,-28,兴证期货    ,1406,4
20160311,IF1603                        ,8,广发期货    ,1492,190,华泰期货    ,1239,-141,广发期货    ,1342,-18
20160311,IF1603                        ,9,上海东证    ,1105,-80,永安期货    ,1116,10,五矿经易    ,978,12
20160311,IF1603                        ,10,申银万国    ,1023,-14,兴证期货    ,921,-41,上海东证    ,955,-4
20160311,IF1603                        ,11,长江期货    ,946,566,鲁证期货    ,888,25,招商期货    ,934,-4
20160311,IF1603                        ,12,永安期货    ,823,-344,光大期货    ,709,55,方正中期    ,920,-22
20160311,IF1603                        ,13,南华期货    ,808,50,申银万国    ,586,-47,永安期货    ,796,21
20160311,IF1603                        ,14,招商期货    ,799,-39,招商期货    ,586,-23,鲁证期货    ,792,-92
20160311,IF1603                        ,15,方正中期    ,754,-8,上海东证    ,471,-17,银河期货    ,777,-56
20160311,IF1603                        ,16,西部期货    ,719,-13,安粮期货    ,454,19,国投中谷    ,674,-25
20160311,IF1603                        ,17,中信建投    ,647,-46,方正中期    ,376,2,申银万国    ,579,-98
20160311,IF1603                        ,18,鲁证期货    ,635,10,南华期货    ,358,-115,国信期货    ,569,-19
20160311,IF1603                        ,19,浙商期货    ,601,68,国信期货    ,313,-40,中信建投    ,532,-64
20160311,IF1603                        ,20,五矿经易    ,582,-32,五矿经易    ,312,-38,东兴期货    ,454,355
