交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20160321,IF1604                        ,期货公司,41338,-1612,33803,2800,33803,2800
20160321,IF1604                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20160321,IF1604                        ,1,海通期货    ,3286,777,国泰君安    ,3475,81,中信期货    ,3374,608
20160321,IF1604                        ,2,中信期货    ,2598,-910,中信期货    ,3148,108,国泰君安    ,2609,-11
20160321,IF1604                        ,3,华泰期货    ,2355,104,中金期货    ,2523,4,华泰期货    ,2382,47
20160321,IF1604                        ,4,国泰君安    ,2314,-282,海通期货    ,2494,981,光大期货    ,2087,263
20160321,IF1604                        ,5,兴证期货    ,1960,67,永安期货    ,1607,77,南华期货    ,1856,247
20160321,IF1604                        ,6,光大期货    ,1821,-83,银河期货    ,1572,64,海通期货    ,1621,33
20160321,IF1604                        ,7,银河期货    ,1571,-58,华泰期货    ,1369,234,广发期货    ,1446,42
20160321,IF1604                        ,8,广发期货    ,1176,-165,兴证期货    ,1121,39,五矿经易    ,1179,8
20160321,IF1604                        ,9,南华期货    ,1030,-221,广发期货    ,1088,46,兴证期货    ,1130,171
20160321,IF1604                        ,10,永安期货    ,989,-103,国投中谷    ,1002,170,招商期货    ,1087,-9
20160321,IF1604                        ,11,方正中期    ,971,-330,申银万国    ,904,35,方正中期    ,1015,84
20160321,IF1604                        ,12,申银万国    ,968,-13,光大期货    ,737,32,永安期货    ,977,144
20160321,IF1604                        ,13,上海东证    ,959,-26,鲁证期货    ,735,158,银河期货    ,907,63
20160321,IF1604                        ,14,鲁证期货    ,885,314,南华期货    ,677,137,鲁证期货    ,708,241
20160321,IF1604                        ,15,招商期货    ,848,-277,五矿经易    ,648,-31,上海东证    ,695,151
20160321,IF1604                        ,16,中信建投    ,740,-8,招商期货    ,554,53,中信建投    ,685,52
20160321,IF1604                        ,17,西部期货    ,652,169,上海东证    ,495,72,国投中谷    ,678,39
20160321,IF1604                        ,18,国信期货    ,640,-49,方正中期    ,466,5,申银万国    ,619,81
20160321,IF1604                        ,19,五矿经易    ,609,-293,国信期货    ,450,37,中金期货    ,586,54
20160321,IF1604                        ,20,浙商期货    ,556,29,宏源期货    ,409,-9,国信期货    ,470,1
