交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20160411,IF1604                        ,期货公司,39876,3278,29580,-3288,29580,-3288
20160411,IF1604                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20160411,IF1604                        ,1,国泰君安    ,2930,562,国泰君安    ,2966,-643,中信期货    ,3141,-303
20160411,IF1604                        ,2,中信期货    ,2910,423,中信期货    ,2657,-375,国泰君安    ,1958,-287
20160411,IF1604                        ,3,海通期货    ,2377,-229,国投中谷    ,2289,-160,华泰期货    ,1831,-94
20160411,IF1604                        ,4,华泰期货    ,2073,366,中金期货    ,1869,-277,方正中期    ,1748,113
20160411,IF1604                        ,5,兴证期货    ,1892,140,海通期货    ,1757,-259,南华期货    ,1660,-281
20160411,IF1604                        ,6,银河期货    ,1764,284,华泰期货    ,1656,-41,光大期货    ,1521,-287
20160411,IF1604                        ,7,光大期货    ,1545,-141,永安期货    ,1494,-427,广发期货    ,1103,-203
20160411,IF1604                        ,8,广发期货    ,1453,156,银河期货    ,1287,-251,海通期货    ,1021,-238
20160411,IF1604                        ,9,永安期货    ,1450,552,广发期货    ,925,-42,兴证期货    ,996,-76
20160411,IF1604                        ,10,南华期货    ,1051,239,兴证期货    ,729,34,银河期货    ,995,-71
20160411,IF1604                        ,11,招商期货    ,970,143,上海东证    ,707,19,招商期货    ,917,-217
20160411,IF1604                        ,12,上海东证    ,866,155,鲁证期货    ,641,-24,鲁证期货    ,867,-28
20160411,IF1604                        ,13,申银万国    ,837,-90,宏源期货    ,608,-53,永安期货    ,855,-103
20160411,IF1604                        ,14,中信建投    ,743,90,光大期货    ,589,-98,五矿经易    ,687,-22
20160411,IF1604                        ,15,方正中期    ,664,49,南华期货    ,538,28,上海东证    ,673,15
20160411,IF1604                        ,16,国信期货    ,639,37,招商期货    ,518,-57,国投中谷    ,672,-36
20160411,IF1604                        ,17,鲁证期货    ,556,-144,申银万国    ,487,-38,中信建投    ,583,-128
20160411,IF1604                        ,18,五矿经易    ,551,-172,五矿经易    ,380,-41,申银万国    ,519,-9
20160411,IF1604                        ,19,中国国际    ,522,90,方正中期    ,376,-25,国信期货    ,469,-93
20160411,IF1604                        ,20,浙商期货    ,519,-32,西部期货    ,344,33,国金期货    ,421,16
