交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20160309,IF1603                        ,期货公司,39046,-6502,33841,-1422,33841,-1422
20160309,IF1603                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20160309,IF1603                        ,1,国泰君安    ,2571,-426,国泰君安    ,2778,-126,中信期货    ,2708,-208
20160309,IF1603                        ,2,中信期货    ,2557,-242,国投中谷    ,2721,7,国泰君安    ,2382,-139
20160309,IF1603                        ,3,海通期货    ,2134,-465,广发期货    ,2534,-38,华泰期货    ,2168,-126
20160309,IF1603                        ,4,光大期货    ,1991,35,中信期货    ,2395,-267,海通期货    ,1928,-9
20160309,IF1603                        ,5,华泰期货    ,1976,-344,中金期货    ,2378,-56,南华期货    ,1802,27
20160309,IF1603                        ,6,兴证期货    ,1757,-433,海通期货    ,2069,-61,光大期货    ,1598,-236
20160309,IF1603                        ,7,银河期货    ,1643,-334,华泰期货    ,1506,-64,广发期货    ,1474,-79
20160309,IF1603                        ,8,广发期货    ,1393,-93,银河期货    ,1489,-26,兴证期货    ,1386,-146
20160309,IF1603                        ,9,申银万国    ,1150,-23,永安期货    ,1467,-192,上海东证    ,1143,41
20160309,IF1603                        ,10,上海东证    ,1087,-173,兴证期货    ,979,-75,招商期货    ,1015,-78
20160309,IF1603                        ,11,永安期货    ,1072,-705,鲁证期货    ,828,113,中金期货    ,995,-71
20160309,IF1603                        ,12,招商期货    ,1021,-199,光大期货    ,679,-17,五矿经易    ,973,-9
20160309,IF1603                        ,13,南华期货    ,842,-39,申银万国    ,645,-74,方正中期    ,969,1
20160309,IF1603                        ,14,方正中期    ,809,-127,招商期货    ,572,-9,永安期货    ,915,-28
20160309,IF1603                        ,15,鲁证期货    ,677,-136,南华期货    ,531,-89,银河期货    ,884,-29
20160309,IF1603                        ,16,西部期货    ,669,-134,上海东证    ,505,60,鲁证期货    ,882,-16
20160309,IF1603                        ,17,国信期货    ,642,-219,瑞达期货    ,496,-5,国投中谷    ,753,-8
20160309,IF1603                        ,18,中信建投    ,627,-103,安粮期货    ,455,3,长江期货    ,674,-30
20160309,IF1603                        ,19,浙商期货    ,610,-99,方正中期    ,397,10,申银万国    ,654,128
20160309,IF1603                        ,20,五矿经易    ,603,-208,五矿经易    ,393,-14,国信期货    ,604,36
