交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20160307,IF1603                        ,期货公司,42716,-3990,36127,-639,36127,-639
20160307,IF1603                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20160307,IF1603                        ,1,国泰君安    ,2777,-266,国泰君安    ,3122,-69,中信期货    ,3334,222
20160307,IF1603                        ,2,中信期货    ,2619,-127,国投中谷    ,2709,-13,国泰君安    ,2616,-180
20160307,IF1603                        ,3,海通期货    ,2404,-171,中信期货    ,2637,25,华泰期货    ,2426,348
20160307,IF1603                        ,4,华泰期货    ,2259,-293,广发期货    ,2588,-22,海通期货    ,1903,-160
20160307,IF1603                        ,5,兴证期货    ,2137,-97,中金期货    ,2474,-13,光大期货    ,1790,-132
20160307,IF1603                        ,6,光大期货    ,1901,-166,海通期货    ,2229,-32,兴证期货    ,1642,130
20160307,IF1603                        ,7,银河期货    ,1684,-256,银河期货    ,1694,-53,南华期货    ,1629,-15
20160307,IF1603                        ,8,广发期货    ,1436,-149,华泰期货    ,1606,41,广发期货    ,1581,-126
20160307,IF1603                        ,9,上海东证    ,1364,126,永安期货    ,1285,-63,上海东证    ,1179,-81
20160307,IF1603                        ,10,永安期货    ,1270,-139,兴证期货    ,1042,-63,招商期货    ,1154,-201
20160307,IF1603                        ,11,方正中期    ,1084,73,申银万国    ,736,-90,五矿经易    ,1149,0
20160307,IF1603                        ,12,申银万国    ,1059,-173,南华期货    ,677,29,永安期货    ,1018,171
20160307,IF1603                        ,13,招商期货    ,1046,-35,光大期货    ,664,-5,鲁证期货    ,965,-22
20160307,IF1603                        ,14,南华期货    ,986,-36,招商期货    ,644,23,银河期货    ,945,15
20160307,IF1603                        ,15,国信期货    ,723,-74,鲁证期货    ,625,23,中金期货    ,914,49
20160307,IF1603                        ,16,鲁证期货    ,715,-178,西部期货    ,595,17,方正中期    ,883,179
20160307,IF1603                        ,17,中信建投    ,711,-225,上海东证    ,562,17,国投中谷    ,746,-35
20160307,IF1603                        ,18,五矿经易    ,666,-213,瑞达期货    ,510,-11,长江期货    ,697,-2
20160307,IF1603                        ,19,浙商期货    ,650,-115,安粮期货    ,471,-10,中信建投    ,672,-78
20160307,IF1603                        ,20,西部期货    ,546,-26,国信期货    ,439,27,国信期货    ,569,62
