交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20160317,IF1603                        ,期货公司,28506,-6562,9399,-8391,9399,-8391
20160317,IF1603                        ,非期货公司,0,0,0,0,0,0
20160317,IF1604                        ,期货公司,35808,14970,25668,8292,25668,8292
20160317,IF1604                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20160317,IF1603                        ,1,国泰君安    ,2167,-525,国投中谷    ,1733,-540,南华期货    ,865,-331
20160317,IF1603                        ,2,中信期货    ,1969,-334,广发期货    ,865,-608,海通期货    ,751,-490
20160317,IF1603                        ,3,海通期货    ,1786,-205,海通期货    ,711,-618,中信期货    ,729,-647
20160317,IF1603                        ,4,广发期货    ,1451,-4,鲁证期货    ,663,-85,上海东证    ,624,-176
20160317,IF1603                        ,5,华泰期货    ,1248,-479,中信期货    ,623,-746,国泰君安    ,500,-715
20160317,IF1603                        ,6,兴证期货    ,984,-572,国泰君安    ,382,-772,方正中期    ,493,-244
20160317,IF1603                        ,7,银河期货    ,918,-832,华泰期货    ,305,-328,鲁证期货    ,475,-147
20160317,IF1603                        ,8,光大期货    ,912,-150,银河期货    ,215,-286,五矿经易    ,397,-240
20160317,IF1603                        ,9,国投中谷    ,910,329,永安期货    ,211,-290,光大期货    ,379,-391
20160317,IF1603                        ,10,申银万国    ,778,-26,光大期货    ,195,-109,华泰期货    ,362,-406
20160317,IF1603                        ,11,上海东证    ,705,-271,中金期货    ,178,-528,银河期货    ,266,-258
20160317,IF1603                        ,12,永安期货    ,690,-158,申银万国    ,173,-105,广发期货    ,209,-573
20160317,IF1603                        ,13,招商期货    ,684,-206,招商期货    ,173,-248,招商期货    ,190,-204
20160317,IF1603                        ,14,南华期货    ,666,-11,宏源期货    ,153,-8,申银万国    ,183,-153
20160317,IF1603                        ,15,方正中期    ,612,18,兴证期货    ,150,-405,永安期货    ,168,-206
20160317,IF1603                        ,16,中金期货    ,576,-27,南华期货    ,136,-87,兴证期货    ,162,-325
20160317,IF1603                        ,17,西部期货    ,489,125,方正中期    ,122,-82,浙商期货    ,132,-55
20160317,IF1603                        ,18,五矿经易    ,488,-178,东航期货    ,120,-51,西部期货    ,117,-155
20160317,IF1603                        ,19,浙商期货    ,455,-31,上海东证    ,104,-205,国金期货    ,116,-17
20160317,IF1603                        ,20,鲁证期货    ,432,-267,浙商期货    ,103,-68,东航期货    ,110,-32
20160317,IF1604                        ,1,中信期货    ,2895,1790,国泰君安    ,3001,650,国泰君安    ,2415,950
20160317,IF1604                        ,2,国泰君安    ,2616,900,中金期货    ,2375,602,华泰期货    ,2138,486
20160317,IF1604                        ,3,海通期货    ,2060,959,中信期货    ,2147,1074,中信期货    ,1961,1009
20160317,IF1604                        ,4,光大期货    ,1992,591,银河期货    ,1387,306,光大期货    ,1669,467
20160317,IF1604                        ,5,华泰期货    ,1707,912,永安期货    ,1358,348,广发期货    ,1389,675
20160317,IF1604                        ,6,广发期货    ,1494,893,海通期货    ,1303,479,海通期货    ,1203,613
20160317,IF1604                        ,7,兴证期货    ,1441,992,华泰期货    ,1019,443,南华期货    ,1171,326
20160317,IF1604                        ,8,银河期货    ,1199,230,兴证期货    ,916,375,招商期货    ,882,117
20160317,IF1604                        ,9,永安期货    ,1166,374,广发期货    ,894,439,五矿经易    ,775,276
20160317,IF1604                        ,10,南华期货    ,1063,90,国投中谷    ,788,64,兴证期货    ,748,200
20160317,IF1604                        ,11,方正中期    ,919,478,光大期货    ,650,103,银河期货    ,716,315
20160317,IF1604                        ,12,申银万国    ,808,464,五矿经易    ,627,163,中信建投    ,640,61
20160317,IF1604                        ,13,中金期货    ,784,-80,申银万国    ,617,90,东兴期货    ,634,-139
20160317,IF1604                        ,14,上海东证    ,773,423,南华期货    ,421,89,国投中谷    ,617,226
20160317,IF1604                        ,15,招商期货    ,733,249,招商期货    ,420,194,永安期货    ,557,226
20160317,IF1604                        ,16,国信期货    ,650,278,鲁证期货    ,393,77,上海东证    ,488,136
20160317,IF1604                        ,17,五矿经易    ,553,31,上海东证    ,368,185,国金期货    ,472,92
20160317,IF1604                        ,18,国投中谷    ,508,-16,国信期货    ,354,131,鲁证期货    ,384,88
20160317,IF1604                        ,19,中信建投    ,494,149,方正中期    ,350,87,平安期货    ,381,56
20160317,IF1604                        ,20,浙商期货    ,452,165,中信建投    ,312,83,方正中期    ,379,156
