交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20160325,IF1604                        ,期货公司,30242,-7948,34305,-13,34305,-13
20160325,IF1604                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20160325,IF1604                        ,1,中信期货    ,1925,-387,国泰君安    ,3575,5,中信期货    ,3633,211
20160325,IF1604                        ,2,国泰君安    ,1889,-109,中信期货    ,3260,94,国泰君安    ,2609,56
20160325,IF1604                        ,3,海通期货    ,1714,-599,海通期货    ,2902,-23,光大期货    ,2212,45
20160325,IF1604                        ,4,兴证期货    ,1602,-173,中金期货    ,2479,-30,南华期货    ,2021,-25
20160325,IF1604                        ,5,华泰期货    ,1426,-756,国投中谷    ,1813,191,华泰期货    ,1848,12
20160325,IF1604                        ,6,光大期货    ,1309,-338,银河期货    ,1588,-5,广发期货    ,1563,109
20160325,IF1604                        ,7,银河期货    ,1291,-261,华泰期货    ,1304,-22,海通期货    ,1487,-213
20160325,IF1604                        ,8,广发期货    ,1224,49,永安期货    ,1043,10,五矿经易    ,1193,-11
20160325,IF1604                        ,9,方正中期    ,760,-85,兴证期货    ,980,-68,兴证期货    ,1136,-20
20160325,IF1604                        ,10,鲁证期货    ,714,-198,申银万国    ,928,-41,招商期货    ,1102,55
20160325,IF1604                        ,11,上海东证    ,663,-264,五矿经易    ,924,-70,方正中期    ,1023,-10
20160325,IF1604                        ,12,申银万国    ,661,-237,鲁证期货    ,882,-9,银河期货    ,968,-56
20160325,IF1604                        ,13,招商期货    ,661,-266,广发期货    ,866,15,永安期货    ,856,-15
20160325,IF1604                        ,14,南华期货    ,659,-265,光大期货    ,741,-20,鲁证期货    ,842,-3
20160325,IF1604                        ,15,中信建投    ,582,-94,南华期货    ,603,-28,国投中谷    ,747,-28
20160325,IF1604                        ,16,永安期货    ,581,-1085,招商期货    ,456,-16,中信建投    ,741,3
20160325,IF1604                        ,17,浙商期货    ,557,19,上海东证    ,432,-33,中金期货    ,587,0
20160325,IF1604                        ,18,五矿经易    ,537,-104,宏源期货    ,422,-15,国信期货    ,557,-5
20160325,IF1604                        ,19,国投中谷    ,487,-86,方正中期    ,418,-32,宝城期货    ,549,9
20160325,IF1604                        ,20,西部期货    ,418,-189,华西期货    ,387,37,上海东证    ,547,-8
