交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20160329,IF1604                        ,期货公司,37176,654,34524,-406,34524,-406
20160329,IF1604                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20160329,IF1604                        ,1,国泰君安    ,2406,324,国泰君安    ,3564,86,中信期货    ,3361,-230
20160329,IF1604                        ,2,中信期货    ,2289,-105,中信期货    ,3223,43,国泰君安    ,2546,-114
20160329,IF1604                        ,3,海通期货    ,1967,77,海通期货    ,3047,6,南华期货    ,2214,137
20160329,IF1604                        ,4,兴证期货    ,1765,-50,中金期货    ,2473,5,光大期货    ,2061,-34
20160329,IF1604                        ,5,华泰期货    ,1716,-16,国投中谷    ,2103,54,广发期货    ,1731,99
20160329,IF1604                        ,6,银河期货    ,1654,125,银河期货    ,1599,21,华泰期货    ,1718,-126
20160329,IF1604                        ,7,光大期货    ,1514,-132,华泰期货    ,1294,4,海通期货    ,1623,63
20160329,IF1604                        ,8,五矿经易    ,1454,585,永安期货    ,1256,48,方正中期    ,1150,3
20160329,IF1604                        ,9,广发期货    ,1360,110,兴证期货    ,997,0,招商期货    ,1118,4
20160329,IF1604                        ,10,永安期货    ,961,-82,申银万国    ,944,22,兴证期货    ,1089,-29
20160329,IF1604                        ,11,南华期货    ,945,126,广发期货    ,920,83,银河期货    ,978,-49
20160329,IF1604                        ,12,申银万国    ,882,1,鲁证期货    ,761,-125,五矿经易    ,940,-211
20160329,IF1604                        ,13,上海东证    ,849,83,光大期货    ,734,-14,鲁证期货    ,840,-5
20160329,IF1604                        ,14,鲁证期货    ,834,247,南华期货    ,582,-26,永安期货    ,821,-101
20160329,IF1604                        ,15,招商期货    ,759,-18,五矿经易    ,520,-637,中信建投    ,807,19
20160329,IF1604                        ,16,中信建投    ,739,15,上海东证    ,512,47,国投中谷    ,741,-28
20160329,IF1604                        ,17,方正中期    ,739,-172,招商期货    ,486,1,上海东证    ,634,156
20160329,IF1604                        ,18,国信期货    ,599,85,方正中期    ,423,2,国信期货    ,576,-58
20160329,IF1604                        ,19,浙商期货    ,543,0,宏源期货    ,412,-7,中金期货    ,573,-8
20160329,IF1604                        ,20,西部期货    ,505,-108,国信期货    ,394,23,宝城期货    ,526,-33
